,STATION_ID,EXTERNAL_LOCATION_ID,UNIT,IMPORT_SOURCE,EXTERNAL_PARAMETER_ID,TIMESTEP_HOUR
422,05F59F8F9862A3FF860C1C86213A6B80501925B5,05F59F8F9862A3FF860C1C86213A6B80501925B5,metre,WHOS,47BEF10439748057FFDEAC0E655B86E41E327C0B,744.0
423,3A2D53454064685F479B74B6C5B3EAA289DE5E00,3A2D53454064685F479B74B6C5B3EAA289DE5E00,metre,WHOS,47BEF10439748057FFDEAC0E655B86E41E327C0B,744.0
428,D90D763D6A60551E9DC9B7649AB1D358172CE488,D90D763D6A60551E9DC9B7649AB1D358172CE488,metre,WHOS,435723334E47400E56AAD9E883BC3314709A48D9,24.0
505,CBBA0FAFA2E9C02B5A7CDEBD45257D6AE0800108,CBBA0FAFA2E9C02B5A7CDEBD45257D6AE0800108,centimetre,WHOS,80B052462E277E0F7D3002CA6C67E481CD953CDC,
506,B7E635DF8AA99D7F08BE24EFBB276A054CF7AA31,B7E635DF8AA99D7F08BE24EFBB276A054CF7AA31,centimetre,WHOS,80B052462E277E0F7D3002CA6C67E481CD953CDC,
525,44A3C23C8AE11F04FD09220CCDEC47D71A9FE3AA,44A3C23C8AE11F04FD09220CCDEC47D71A9FE3AA,metre,WHOS,435723334E47400E56AAD9E883BC3314709A48D9,24.0
533,953EA128A0106D9B1ACF6CE264816BB493FDA555,953EA128A0106D9B1ACF6CE264816BB493FDA555,centimetre,WHOS,80B052462E277E0F7D3002CA6C67E481CD953CDC,
547,269EC33181465B48EE54461C822718B70780972E,269EC33181465B48EE54461C822718B70780972E,centimetre,WHOS,80B052462E277E0F7D3002CA6C67E481CD953CDC,
549,9ED8D349D9A16F34BC9E2C5D373F1E05C28C8575,9ED8D349D9A16F34BC9E2C5D373F1E05C28C8575,centimetre,WHOS,80B052462E277E0F7D3002CA6C67E481CD953CDC,
557,1775DF569FDD3E425DE14769EF40516FB82CFE87,1775DF569FDD3E425DE14769EF40516FB82CFE87,metre,WHOS,435723334E47400E56AAD9E883BC3314709A48D9,24.0
571,DE1EB0224EE3F181C26648722FB194A0777442D3,DE1EB0224EE3F181C26648722FB194A0777442D3,centimetre,WHOS,80B052462E277E0F7D3002CA6C67E481CD953CDC,
606,6C1D4EF3D9B912602CB8D031B11AE65209A1F599,6C1D4EF3D9B912602CB8D031B11AE65209A1F599,centimetre,WHOS,80B052462E277E0F7D3002CA6C67E481CD953CDC,
609,3F8A3DD4FBEDDA5B5D4164838423EED23FF1BD21,3F8A3DD4FBEDDA5B5D4164838423EED23FF1BD21,metre,WHOS,E02E2A436A24C1DB98D819A4705B8089856A9579,
615,D07A45EE1BAE40B4846390B7E064C6B9F4A8B669,D07A45EE1BAE40B4846390B7E064C6B9F4A8B669,centimetre,WHOS,80B052462E277E0F7D3002CA6C67E481CD953CDC,
617,E927C31135E8F2786DD4CF2B8FBAF08800859BE2,E927C31135E8F2786DD4CF2B8FBAF08800859BE2,metre,WHOS,47BEF10439748057FFDEAC0E655B86E41E327C0B,744.0
635,C345E776AF7877FD43DB5681445E40432ECE8D3D,C345E776AF7877FD43DB5681445E40432ECE8D3D,centimetre,WHOS,80B052462E277E0F7D3002CA6C67E481CD953CDC,
659,1D79A8637E5D8613A3F141A2414677EB936FD8E5,1D79A8637E5D8613A3F141A2414677EB936FD8E5,centimetre,WHOS,80B052462E277E0F7D3002CA6C67E481CD953CDC,
689,3CC0F5A49836659D6EDFA7CD65797DD6459C84F7,3CC0F5A49836659D6EDFA7CD65797DD6459C84F7,centimetre,WHOS,80B052462E277E0F7D3002CA6C67E481CD953CDC,
692,9B2F7F1829978E151867049618127C5218192E13,9B2F7F1829978E151867049618127C5218192E13,centimetre,WHOS,80B052462E277E0F7D3002CA6C67E481CD953CDC,
708,15180DCFB6D89C28099A66B38BA62156ECBE9DE7,15180DCFB6D89C28099A66B38BA62156ECBE9DE7,metre,WHOS,E02E2A436A24C1DB98D819A4705B8089856A9579,
748,165B9E0A45BFDC25DF59D5439E3B9D7B64C3F7DE,165B9E0A45BFDC25DF59D5439E3B9D7B64C3F7DE,centimetre,WHOS,80B052462E277E0F7D3002CA6C67E481CD953CDC,
750,1CB0A409D1FA926DDA785A76DFF1967350B77735,1CB0A409D1FA926DDA785A76DFF1967350B77735,centimetre,WHOS,80B052462E277E0F7D3002CA6C67E481CD953CDC,
751,4539D71DF8775FDD6C5AF1F861329CEB582C1578,4539D71DF8775FDD6C5AF1F861329CEB582C1578,centimetre,WHOS,80B052462E277E0F7D3002CA6C67E481CD953CDC,
773,6351F2AC4F59A042CEA91D19E8054BEA8EE5D81A,6351F2AC4F59A042CEA91D19E8054BEA8EE5D81A,metre,WHOS,E02E2A436A24C1DB98D819A4705B8089856A9579,
777,821CDC7E4B17C021E2A1115FEE46B0FA0305AB5F,821CDC7E4B17C021E2A1115FEE46B0FA0305AB5F,metre,WHOS,316DA204B35B413B3032732FE919118843328578,
779,D759B61750056AA95A33DC618C928BB206505896,D759B61750056AA95A33DC618C928BB206505896,metre,WHOS,6AA6C8AF684BF2DAC15E4B7D7B38EC2FF631A3A8,
823,CD6B74E74D8A79095415979247127015DA75D1C8,CD6B74E74D8A79095415979247127015DA75D1C8,centimetre,WHOS,80B052462E277E0F7D3002CA6C67E481CD953CDC,
824,5ED2A798756EE1CB170A05083A6E6DA5B4319D37,5ED2A798756EE1CB170A05083A6E6DA5B4319D37,centimetre,WHOS,80B052462E277E0F7D3002CA6C67E481CD953CDC,
825,96763718E65FDA4C45B8B3513AF5F79F42F52A16,96763718E65FDA4C45B8B3513AF5F79F42F52A16,centimetre,WHOS,80B052462E277E0F7D3002CA6C67E481CD953CDC,
842,833118D6EC6B9B351D153B2EDEA9DD55ABF0FBA8,833118D6EC6B9B351D153B2EDEA9DD55ABF0FBA8,centimetre,WHOS,80B052462E277E0F7D3002CA6C67E481CD953CDC,
848,216377517DBDB022F133197639F08A8FAC265AD3,216377517DBDB022F133197639F08A8FAC265AD3,centimetre,WHOS,80B052462E277E0F7D3002CA6C67E481CD953CDC,
900,86BFC99A70C950A369B7593609A4D0B8B32BF84F,86BFC99A70C950A369B7593609A4D0B8B32BF84F,centimetre,WHOS,80B052462E277E0F7D3002CA6C67E481CD953CDC,
906,DB9741073F1C45FEC6AD3055E3079AE9309664A4,DB9741073F1C45FEC6AD3055E3079AE9309664A4,centimetre,WHOS,80B052462E277E0F7D3002CA6C67E481CD953CDC,
955,077DD9C162758894B49F46A3766B3FB0C91FB2BC,077DD9C162758894B49F46A3766B3FB0C91FB2BC,metre,WHOS,E02E2A436A24C1DB98D819A4705B8089856A9579,
959,89FC35A138E8504BEA5BC91BA0EBFC609F4E1FF2,89FC35A138E8504BEA5BC91BA0EBFC609F4E1FF2,metre,WHOS,435723334E47400E56AAD9E883BC3314709A48D9,24.0
962,A945D5C7D68512D4511C7F7C4C5EA4E7E39030DB,A945D5C7D68512D4511C7F7C4C5EA4E7E39030DB,centimetre,WHOS,80B052462E277E0F7D3002CA6C67E481CD953CDC,
986,D0348741D3321CB9B845284C94744FDB587F2BED,D0348741D3321CB9B845284C94744FDB587F2BED,metre,WHOS,E02E2A436A24C1DB98D819A4705B8089856A9579,
992,D176B00ADC6B1212427FE30F85FE37EEE6449EF4,D176B00ADC6B1212427FE30F85FE37EEE6449EF4,centimetre,WHOS,80B052462E277E0F7D3002CA6C67E481CD953CDC,
994,C2D9B73C0A8900AD46B614972C06CBACCEB3F0E2,C2D9B73C0A8900AD46B614972C06CBACCEB3F0E2,metre,WHOS,435723334E47400E56AAD9E883BC3314709A48D9,24.0
41,7894647EAD70DEB9A10C1E11322E369DDFE85EBD,7894647EAD70DEB9A10C1E11322E369DDFE85EBD,centimetre,WHOS,80B052462E277E0F7D3002CA6C67E481CD953CDC,
79,6503960D1115120EA7E2D2A5337C22D5AA324EFB,6503960D1115120EA7E2D2A5337C22D5AA324EFB,metre,WHOS,E02E2A436A24C1DB98D819A4705B8089856A9579,
89,0771C9EB87F2F7D575130F05DF171C8251D08902,0771C9EB87F2F7D575130F05DF171C8251D08902,metre,WHOS,47BEF10439748057FFDEAC0E655B86E41E327C0B,744.0
95,05248ED61D88590DF59A49229768C42C8F8D78BB,05248ED61D88590DF59A49229768C42C8F8D78BB,centimetre,WHOS,80B052462E277E0F7D3002CA6C67E481CD953CDC,
97,4DC3B72754BBD65B9A053976F0AFEFDAE091E87A,4DC3B72754BBD65B9A053976F0AFEFDAE091E87A,metre,WHOS,E02E2A436A24C1DB98D819A4705B8089856A9579,
117,E3E8B2567492515B7D39D8DAC5F92B4EA29A4113,E3E8B2567492515B7D39D8DAC5F92B4EA29A4113,centimetre,WHOS,80B052462E277E0F7D3002CA6C67E481CD953CDC,
132,D622A4E5AC5DDDEBF7F0E70F6D958F7C42B98DB3,D622A4E5AC5DDDEBF7F0E70F6D958F7C42B98DB3,centimetre,WHOS,80B052462E277E0F7D3002CA6C67E481CD953CDC,
166,E544530CB8270864068F9E07DE77CAC1C81F5C9A,E544530CB8270864068F9E07DE77CAC1C81F5C9A,centimetre,WHOS,80B052462E277E0F7D3002CA6C67E481CD953CDC,
