,STATION_ID,EXTERNAL_LOCATION_ID,UNIT,IMPORT_SOURCE,EXTERNAL_PARAMETER_ID,TIMESTEP_HOUR
771,21A896B79B67E05B2C3A80CA53EB827C980E94BA,21A896B79B67E05B2C3A80CA53EB827C980E94BA,cubic metres per second,WHOS,15A8E68572CD0E538D6520C8ABD34F5680CFF81A,
799,44780CB21DAE6292D18DD64371E54E045D728D40,44780CB21DAE6292D18DD64371E54E045D728D40,cubic metres per second,WHOS,5C34E7D199E2643B1AA949D920942C576A406AB4,
818,3437B9EF80504B6A2526BF065B78AB9DAE4BD857,3437B9EF80504B6A2526BF065B78AB9DAE4BD857,cubic metres per second,WHOS,472D1E733D426DC0A514D0BD6A2AAA7541CCEC3A,
845,870F443EB947EB840E5638F29FF67A0B637D02B0,870F443EB947EB840E5638F29FF67A0B637D02B0,cubic metres per second,WHOS,5C34E7D199E2643B1AA949D920942C576A406AB4,
852,4ABC632413EF44233CFBDF7E66C283F9EF889090,4ABC632413EF44233CFBDF7E66C283F9EF889090,cubic metres per second,WHOS,5C34E7D199E2643B1AA949D920942C576A406AB4,
866,0E3BAFD601AC9D1A7D2B7609344799BE98D08D04,0E3BAFD601AC9D1A7D2B7609344799BE98D08D04,cubic metres per second,WHOS,5C34E7D199E2643B1AA949D920942C576A406AB4,
885,28D0D1A970A515AC2BF188933A625E4AD039BED9,28D0D1A970A515AC2BF188933A625E4AD039BED9,cubic metres per second,WHOS,5C34E7D199E2643B1AA949D920942C576A406AB4,
963,7ACB51A9664AAC320475CC234E995BF0A2D0A09D,7ACB51A9664AAC320475CC234E995BF0A2D0A09D,cubic metres per second,WHOS,5C34E7D199E2643B1AA949D920942C576A406AB4,
33,B38D3131C4A20CAF19650A608203326E72FAC085,B38D3131C4A20CAF19650A608203326E72FAC085,cubic metres per second,WHOS,CEE1F03F85E1231A57C7E756527ED41B9C43820B,24.0
51,32A184F3871CB2A0EAF626D322C9C8021345FF56,32A184F3871CB2A0EAF626D322C9C8021345FF56,cubic metres per second,WHOS,5C34E7D199E2643B1AA949D920942C576A406AB4,
73,07FACF02B1693ADAB63521664C5D2A032761B06D,07FACF02B1693ADAB63521664C5D2A032761B06D,cubic metres per second,WHOS,5C34E7D199E2643B1AA949D920942C576A406AB4,
102,588230A4E9F7E8B48E57262B53FC4BBE511DB6D6,588230A4E9F7E8B48E57262B53FC4BBE511DB6D6,cubic metres per second,WHOS,472D1E733D426DC0A514D0BD6A2AAA7541CCEC3A,
103,C2E15B8094C9C171D3DB15A122B1FAE8DDD08DB2,C2E15B8094C9C171D3DB15A122B1FAE8DDD08DB2,cubic metres per second,WHOS,5C34E7D199E2643B1AA949D920942C576A406AB4,
