STATION_ID,TOOLTIP,ORGANIZATION,STATION_NAME,LATITUDE,COUNTRY,STATION_SHORTNAME,ALTITUDE,LONGITUDE,SUBBASIN
012612B6B1E20C89E89B4D832B9967A69E89F443,TUBARÃO,WHOS,TUBARÃO,-28.47,Brazil,TUBARÃO,,-48.9917,
0131C7FDD56AC29559AC108D063670F7CDFD7630,SAO PAULO - SAO JOAO CLIMACO,WHOS,SAO PAULO - SAO JOAO CLIMACO,-23.622,Brazil,SAOPAULO-SAO,,-46.583,
014AB0A0798449C6ED5C0FEA1B82BB05C2D870CD,PCH VERDE 4A RIBEIRÃO SALGADO,WHOS,PCH VERDE 4A RIBEIRÃO SALGADO,-19.7936,Brazil,PCHVERDE4ARI,,-53.4861,
014B8949A3E1FEDF00930EA055B4D7692A2EF9E1,UHE BATALHA MONTANTE 1,WHOS,UHE BATALHA MONTANTE 1,-16.7578,Brazil,UHEBATALHAMO,,-47.2342,
014C9EA6CE9A05EF88D120CF4A7C162F687E1838,Compuerta Alternativa Norte AD,WHOS,Compuerta Alternativa Norte AD,-34.2419444444444,Argentina,CompuertaAlt,,-62.1211111111111,
0156B2319F736A916599B06D00D2CBF07153FE7A,PCH SANTANA MONTANTE 1,WHOS,PCH SANTANA MONTANTE 1,-22.1114,Brazil,PCHSANTANAMO,,-47.9964,
0164D91111F3A91F8603D12911E4A30E41AFC823,LAGOA VERMELHA,WHOS,LAGOA VERMELHA,-28.22237,,LAGOAVERMELH,,-51.512820000000005,
0176E0540AD62D00551A64C6621C3CC6B990F213,SOROCABA - RETIRO SAO JOAO,WHOS,SOROCABA - RETIRO SAO JOAO,-23.4553,Brazil,SOROCABA-RET,,-47.4428,
0196D2B911ABF88BBE5A44F444CECE2168D63647,SAO PAULO - JARDIM ARICANDUVA,WHOS,SAO PAULO - JARDIM ARICANDUVA,-23.564791,Brazil,SAOPAULO-JAR,,-46.513474,
019E9171EA1B6460ED3F7A95F32BE52591AEE6CC,JULIO DE CASTILHO,WHOS,JULIO DE CASTILHO,-29.23,Brazil,JULIODECASTI,,-53.68,
01A5F313AE0EF8CC9B6713667C4BDA7324E10E73,BARBACENA - SENHORA DOS DORES,WHOS,BARBACENA - SENHORA DOS DORES,-21.194,Brazil,BARBACENA-SE,,-43.644,
01ACD06B13AD0FC9AA07A97F69289E7923948C58,UBERLANDIA,WHOS,UBERLANDIA,-18.917052,Brazil,UBERLANDIA,,-48.255676,
01AD41D0966DEA76AC59F2C61CD77777C8AD9707,CGH CACHOEIRA DOS PRAZERES BARRAMENTO,WHOS,CGH CACHOEIRA DOS PRAZERES BARRAMENTO,-20.4678,Brazil,CGHCACHOEIRA,,-43.4703,
01EBEC925C74A6BF7B2AF458FCFE11C3FBA30B75,CONCORDIA - SALETE,WHOS,CONCORDIA - SALETE,-27.2164,Brazil,CONCORDIA-SA,,-52.0149,
01F910F8D1B0308AD576B334380E13B7DF4F25B6,PCH SÃO SEBASTIÃO BARRAMENTO,WHOS,PCH SÃO SEBASTIÃO BARRAMENTO,-27.3192,Brazil,PCHSÃOSEBAST,,-49.0419,
0201D520C608FF906A732CC736E32DCD7D46FF81,CAPIVARI - JARDIM ELISA,WHOS,CAPIVARI - JARDIM ELISA,-23.005,Brazil,CAPIVARI-JAR,,-47.513,
02137775C072604A8CB6EB531E613E9BC2AB7790,CARAGUATATUBA - INDAIA,WHOS,CARAGUATATUBA - INDAIA,-23.637,Brazil,CARAGUATATUB,,-45.426,
0216E67FF34D5078A689FEB9981D3A9D15ABA585,ITIQUIRA I,WHOS,ITIQUIRA I,-17.0833333,Brazil,ITIQUIRAI,,-54.8333333,
0239DA6302F487C0EFD40BEA3DDE60E4D2319252,PCH MATA COBRA MONTANTE 1,WHOS,PCH MATA COBRA MONTANTE 1,-28.2653,Brazil,PCHMATACOBRA,,-52.8969,
0242CB7E2F0597B738BF0F394CEABBBAD7BACBB2,ESTRELA - POSTO DE SAUDE BOA UNIAO,WHOS,ESTRELA - POSTO DE SAUDE BOA UNIAO,-29.4844,Brazil,ESTRELA-POST,,-51.9482,
024CB013FC06B52BA235E92B75318DF8E9B8E751,APIAI - CENTRO,WHOS,APIAI - CENTRO,-24.507622,Brazil,APIAI-CENTRO,,-48.848371,
0264A3C29E1FE79681500264BA5170C828E2DAE7,PCH UNAÍ BAIXO CÓRREGO SANTA MARIA,WHOS,PCH UNAÍ BAIXO CÓRREGO SANTA MARIA,-16.1783,Brazil,PCHUNAÍBAIXO,,-47.0028,
