STATION_ID,STATION_NAME,EXTERNAL_LOCATION_ID,EXTERNAL_PARAMETER_ID,TIMESTEP_HOUR,UNIT,IMPORT_SOURCE,THRESHOLD_YELLOW,THRESHOLD_ORANGE,THRESHOLD_RED,THRESHOLD_MEAN,THRESHOLD_P05,THRESHOLD_P10,THRESHOLD_P90,THRESHOLD_P95,IMPORT,LATITUDE,LONGITUDE,ALTITUDE,TYPE,COUNTRY,ORGANIZATION,SUBBASIN,PARENT_ID,CHILD_ID
6735,Miriñay - San Roquito,B22660D6592D91C57F2776E22719944DE643A0D8,4E47D870E717581F520F6C4EBE8E23962A880107,24.0,milímetros,WHOS,,,,,,,,,True,-29.2969444444444,-57.5655555555556,,,Argentina,INA,Rio Uruguay,AR_INA_6735,AR_INA_6735_WHO_24_P
7323,RMA04_PMB - Parque Nacional Mburucuyá,5A70E5A06DC4A5074876633CCDF9DD567015B6EA,5C817E8F57D758E6F6BCECEDBFD9745F6DF894FC,1.0,milímetros,WHOS,,,,,,,,,True,-28.0427777777778,-58.1016666666667,,,Argentina,INA,Rio Parana,AR_INA_7323,AR_INA_7323_WHO_1_P
7311,RMA02_LUJ - Luján,78B0991BC49249B4DC0F6A1E2568730737094BAC,5C817E8F57D758E6F6BCECEDBFD9745F6DF894FC,1.0,milímetros,WHOS,,,,,,,,,True,-34.5880555555556,-59.0625,,,Argentina,INA,Rio Parana,AR_INA_7311,AR_INA_7311_WHO_1_P
7318,RMA03_PZL - Posta Zalazar,BE49787DD867E1320355E9BB2C5011D42641A32D,5C817E8F57D758E6F6BCECEDBFD9745F6DF894FC,1.0,milímetros,WHOS,,,,,,,,,True,-24.2119444444444,-60.1972222222222,,,Argentina,INA,Rio Paraguay,AR_INA_7318,AR_INA_7318_WHO_1_P
6711,PN - Calilegua - La Mesada,D61BB3396F3990D31BE6D6DE99BEB8D2A4903202,7075721786F52D17847D1D6369D0F3E794795E5C,3.0,milímetros,WHOS,,,,,,,,,True,-23.8663888888889,-64.8669444444444,,,Argentina,INA,Rio Paraguay,AR_INA_6711,AR_INA_6711_WHO_3_P
2154,Bermejo - Pozo Sarmiento,6AB0AC17BC81A8DFE28772DA972FEFFC97F8F665,7075721786F52D17847D1D6369D0F3E794795E5C,3.0,milímetros,WHOS,,,,,,,,,True,-23.1405555555556,-64.1969444444445,,,Argentina,INA,Rio Paraguay,AR_INA_2154,AR_INA_2154_WHO_3_P
6708,Salto Chico - Concordia,4A7D51E2C7A1136C60C0C5E3206E772EA463FF4D,4E47D870E717581F520F6C4EBE8E23962A880107,24.0,milímetros,WHOS,,,,,,,,,True,-31.3147222222222,-57.9902777777778,,,Argentina,INA,Rio Uruguay,AR_INA_6708,AR_INA_6708_WHO_24_P
6549,Juramento - El Tunal,9B55AEBD244B9184714510CC6D05D1EC6A0A2A73,4E47D870E717581F520F6C4EBE8E23962A880107,24.0,milímetros,WHOS,,,,,,,,,True,-25.2497222222222,-64.3902777777778,,,Argentina,INA,Rio Parana,AR_INA_6549,AR_INA_6549_WHO_24_P
6652,Lipeo - Puente Colgante,A502E8169A861767F04B91061DA701D4D49ED261,4E47D870E717581F520F6C4EBE8E23962A880107,24.0,milímetros,WHOS,,,,,,,,,True,-22.4311111111111,-64.7372222222222,,,Argentina,INA,Rio Paraguay,AR_INA_6652,AR_INA_6652_WHO_24_P
6431,PN  - Copo  - El Aibal ,B2180B1521C86AF50030989560358130683C72CC,7075721786F52D17847D1D6369D0F3E794795E5C,3.0,milímetros,WHOS,,,,,,,,,True,-25.9227777777778,-61.7138888888889,,,Argentina,INA,Rio Parana,AR_INA_6431,AR_INA_6431_WHO_3_P
6701,Santa Rosa - Meteorológica,11BC34AC60E06C456B2F7772EB1CD84C19470308,4E47D870E717581F520F6C4EBE8E23962A880107,24.0,milímetros,WHOS,,,,,,,,,True,-36.6213888888889,-64.3219444444444,,,Argentina,INA,,AR_INA_6701,AR_INA_6701_WHO_24_P
6447,Dulce - La Escuela - Río Hondo,45C9C48B5B7F1CF2581167DBF2472FC1DF9BB0CF,7075721786F52D17847D1D6369D0F3E794795E5C,3.0,milímetros,WHOS,,,,,,,,,True,-27.5033333333333,-64.8558333333333,,,Argentina,INA,,AR_INA_6447,AR_INA_6447_WHO_3_P
2198,Aº Batel - Paso Cerrito,6503960D1115120EA7E2D2A5337C22D5AA324EFB,4E47D870E717581F520F6C4EBE8E23962A880107,24.0,milímetros,WHOS,,,,,,,,,True,-29.0311111111111,-58.7883333333333,,,Argentina,INA,Rio Parana,AR_INA_2198,AR_INA_2198_WHO_24_P
6603,Pavas - Las Mesadas,DBF3651129994C7EF333777C50DFD2CEE0F47696,7075721786F52D17847D1D6369D0F3E794795E5C,3.0,milímetros,WHOS,,,,,,,,,True,-27.2141666666667,-65.9288888888889,,,Argentina,INA,,AR_INA_6603,AR_INA_6603_WHO_3_P
6701,Santa Rosa - Meteorológica,11BC34AC60E06C456B2F7772EB1CD84C19470308,5C817E8F57D758E6F6BCECEDBFD9745F6DF894FC,1.0,milímetros,WHOS,,,,,,,,,True,-36.6213888888889,-64.3219444444444,,,Argentina,INA,,AR_INA_6701,AR_INA_6701_WHO_1_P
5904,PN Ciervo de los Pantanos,A7454ECF66C1708B995E3481FE45652F6E942811,4E47D870E717581F520F6C4EBE8E23962A880107,24.0,milímetros,WHOS,,,,,,,,,True,-34.2255555555556,-58.8988888888889,,,Argentina,INA,Rio Parana,AR_INA_5904,AR_INA_5904_WHO_24_P
