,STATION_ID,STATION_NAME,STATION_SHORTNAME,TOOLTIP,LATITUDE,LONGITUDE,ALTITUDE,TYPE,COUNTRY,ORGANIZATION,SUBBASIN,PARENT_ID
101,6655,Aº Azul - Seminario Diocesano,AºAzul-Semin,Aº Azul - Seminario Diocesano,-36.8311111111111,-59.8938888888889,,,Argentina,INA,Rio de la Plata,AR_INA_6655
102,54,Olivos,Olivos,Olivos,-34.506666,-58.475863,,,Argentina,INA,Rio Parana,AR_INA_54
103,7166,Santa Lucia - San Roque,SantaLucia-S,Santa Lucia - San Roque,-28.57,-58.7177777777778,,,Argentina,INA,Rio Parana,AR_INA_7166
104,13,Santa Ana,SantaAna,Santa Ana,-27.33509,-55.588412,,,Argentina,INA,Rio Parana,AR_INA_13
105,50,Dique Luján,DiqueLuján,Dique Luján,-34.351576,-58.686115,,,Argentina,INA,Rio Parana,AR_INA_50
106,7231,Anizacate - Santa Ana,Anizacate-Sa,Anizacate - Santa Ana,-31.6908333333333,-64.5375,,,Argentina,INA,,AR_INA_7231
107,2223,Salado - Suncho Corral,Salado-Sunch,Salado - Suncho Corral,-27.9402777777778,-63.4397222222222,,,Argentina,INA,Rio Parana,AR_INA_2223
108,6603,Pavas - Las Mesadas,Pavas-LasMes,Pavas - Las Mesadas,-27.2141666666667,-65.9288888888889,,,Argentina,INA,,AR_INA_6603
109,2133,Paraguay - Pto. Pilcomayo,Paraguay-Pto,Paraguay - Pto. Pilcomayo,-25.3719444444444,-57.6502777777778,,,Argentina,INA,Rio Paraguay,AR_INA_2133
110,1696,Arroyo Martínez (Villa Paranacito),ArroyoMartín,Arroyo Martínez (Villa Paranacito),-33.6580427638889,-58.5811476,,,Argentina,INA,Rio Parana,AR_INA_1696
111,51,Chaná Miní,ChanáMiní,Chaná Miní,-34.2,-58.4833333333,,,Argentina,INA,Rio Parana,AR_INA_51
112,6701,Santa Rosa - Meteorológica,SantaRosa-Me,Santa Rosa - Meteorológica,-36.6213888888889,-64.3219444444444,,,Argentina,INA,,AR_INA_6701
113,5904,PN Ciervo de los Pantanos,PNCiervodelo,PN Ciervo de los Pantanos,-34.2255555555556,-58.8988888888889,,,Argentina,INA,Rio Parana,AR_INA_5904
114,65,San Javier,SanJavier,San Javier,-27.8833333333333,-55.1333333333333,,,Argentina,INA,Rio Uruguay,AR_INA_65
115,2213,Canal Regulador N°4 - La Pantanosa,CanalRegulad,Canal Regulador N°4 - La Pantanosa,-34.2580555555556,-61.6386111111111,,,Argentina,INA,Rio de la Plata,AR_INA_2213
116,7263,Dulce - Paso de Oscares,Dulce-Pasode,Dulce - Paso de Oscares,-29.2533333333333,-63.2069444444444,,,Argentina,INA,,AR_INA_7263
117,86,La Plata,LaPlata,La Plata,-34.824196,-57.873546,,,Argentina,INA,Rio de la Plata,AR_INA_86
118,31,Diamante,Diamante,Diamante,-32.0715615377843,-60.6432219715378,,,Argentina,INA,Rio Parana,AR_INA_31
119,7341,RMA08_PIB - Parque Nacional Ib,RMA08_PIB-Pa,RMA08_PIB - Parque Nacional Ib,-28.1280555555556,-57.4363888888889,,,Argentina,INA,Rio Parana,AR_INA_7341
120,2188,Bermejo - El Colorado,Bermejo-ElCo,Bermejo - El Colorado,-26.3341666666667,-59.3625,,,Argentina,INA,Rio Paraguay,AR_INA_2188
121,2197,Salado - Pinto,Salado-Pinto,Salado - Pinto,-29.1058333333333,-62.5761111111111,,,Argentina,INA,Rio Parana,AR_INA_2197
122,6748,Lag. La Picasa - Escollera FFC,Lag.LaPicasa,Lag. La Picasa - Escollera FFC,-34.3372222222222,-62.3247222222222,,,Argentina,INA,,AR_INA_6748
123,6746,Canal San Antonio- RP Nº66,CanalSanAnto,Canal San Antonio- RP Nº66,-31.9905555555556,-62.1688888888889,,,Argentina,INA,Rio Parana,AR_INA_6746
