STATION_ID,STATION_NAME,EXTERNAL_LOCATION_ID,EXTERNAL_PARAMETER_ID,TIMESTEP_HOUR,UNIT,IMPORT_SOURCE,THRESHOLD_LOW,THRESHOLD_YELLOW,THRESHOLD_ORANGE,THRESHOLD_RED,THRESHOLD_WATERINTAKE,THRESHOLD_NAVIGATION,THRESHOLD_MEAN,THRESHOLD_P05,THRESHOLD_P10,THRESHOLD_P90,THRESHOLD_P95,IMPORT,LATITUDE,LONGITUDE,ALTITUDE,TYPE,COUNTRY,ORGANIZATION,SUBBASIN,PARENT_ID,CHILD_ID
5901,Paraná - Túnel subfluvial,3B33C316B7F67D28C04C8D2E9EAC6C92BBE00C89,CEE1F03F85E1231A57C7E756527ED41B9C43820B,24,metros cúbicos por segundo,WHOS,,,,,,,,,,,,True,-31.72,-60.5175,,,Argentina,INA,Rio Parana,AR_INA_5901,AR_INA_5901_WHO_24_Q
6544,Areco - Carmen de Areco,8EF9E5A4E887BC671B7F76937DA7316AF5DC02CA,CEE1F03F85E1231A57C7E756527ED41B9C43820B,24,metros cúbicos por segundo,WHOS,,,,,,,,,,,,True,-34.3519444444444,-59.8169444444444,,,Argentina,INA,Rio Parana,AR_INA_6544,AR_INA_6544_WHO_24_Q
61,El Soberbio,7040838B6BB402DAAA03931F9AEC8113C897D73A,CEE1F03F85E1231A57C7E756527ED41B9C43820B,24,metros cúbicos por segundo,WHOS,,,,,,,,,,,,True,-27.3,-54.2,,,Argentina,INA,Rio Uruguay,AR_INA_61,AR_INA_61_WHO_24_Q
72,Paso de los Libres,5D4AF2886B4D79302D1F3F2EE3F33420865A2411,B9240615C51DA438E9E02C9858887F1EE726EE2E,744,metros cúbicos por segundo,WHOS,,,,,,,,,,,,True,-29.7166666666667,-57.0833333333333,,,Argentina,INA,Rio Uruguay,AR_INA_72,AR_INA_72_WHO_744_Q
88,Yacyretá efluente,FAAC49BA633EFF325BE5D2BA81BE14574A268ABA,B9240615C51DA438E9E02C9858887F1EE726EE2E,744,metros cúbicos por segundo,WHOS,,,,,,,,,,,,True,-27.482557,-56.727244,,,Argentina,INA,Rio Parana,AR_INA_88,AR_INA_88_WHO_744_Q
65,San Javier,670DBE1488487406B9BFA7BBC32FFE83EF34D28B,B9240615C51DA438E9E02C9858887F1EE726EE2E,744,metros cúbicos por segundo,WHOS,,,,,,,,,,,,True,-27.8833333333333,-55.1333333333333,,,Argentina,INA,Rio Uruguay,AR_INA_65,AR_INA_65_WHO_744_Q
2205,Gualeguay - Villaguay,3A2D53454064685F479B74B6C5B3EAA289DE5E00,B9240615C51DA438E9E02C9858887F1EE726EE2E,744,metros cúbicos por segundo,WHOS,,,,,,,,,,,,True,-31.8016666666667,-59.1261111111111,,,Argentina,INA,Rio Parana,AR_INA_2205,AR_INA_2205_WHO_744_Q
30,Santa Fe,3D6199412BFA3DFEAB30DD9E0E4C7EEFEB6DECE1,CEE1F03F85E1231A57C7E756527ED41B9C43820B,24,metros cúbicos por segundo,WHOS,,,,,,,,,,,,True,-31.6514772196376,-60.7002319185745,,,Argentina,INA,Rio Parana,AR_INA_30,AR_INA_30_WHO_24_Q
55,Puerto Pilcomayo,B76F89BC3A30F644310F1CC4C611C7EA6047DA7A,CEE1F03F85E1231A57C7E756527ED41B9C43820B,24,metros cúbicos por segundo,WHOS,,,,,,,,,,,,True,-25.3666666666667,-57.65,,,Argentina,INA,Rio Paraguay,AR_INA_55,AR_INA_55_WHO_24_Q
8,Andresito,CFD04512F2051C00F5CFD00C4DE766399684B033,CEE1F03F85E1231A57C7E756527ED41B9C43820B,24,metros cúbicos por segundo,WHOS,,,,,,,,,,,,True,-25.5833333333333,-53.9833333333333,,,Argentina,INA,Rio Parana,AR_INA_8,AR_INA_8_WHO_24_Q
19,Corrientes,F426CC5C7D4A1563EE3B41E4F50FB4DE8568D3F2,B9240615C51DA438E9E02C9858887F1EE726EE2E,744,metros cúbicos por segundo,WHOS,,,,,,,,,,,,True,-27.46364349,-58.8388696,,,Argentina,INA,Rio Parana,AR_INA_19,AR_INA_19_WHO_744_Q
74,Monte Caseros,0DF4C4284AA14E0A545C0F855B4F6FF558693CEE,B9240615C51DA438E9E02C9858887F1EE726EE2E,744,metros cúbicos por segundo,WHOS,,,,,,,,,,,,True,-30.25,-57.6333333333333,,,Argentina,INA,Rio Uruguay,AR_INA_74,AR_INA_74_WHO_744_Q
93,Confluencia,4638148B18E69F759A31CF738A0B4EA1FC93408D,CEE1F03F85E1231A57C7E756527ED41B9C43820B,24,metros cúbicos por segundo,WHOS,,,,,,,,,,,,True,-25.592701,-54.593363,,,Argentina,INA,Rio Parana,AR_INA_93,AR_INA_93_WHO_24_Q
