STATION_ID,EXTERNAL_LOCATION_ID,EXTERNAL_PARAMETER_ID,TIMESTEP_HOUR,UNIT,IMPORT_SOURCE,THRESHOLD_LOW,THRESHOLD_YELLOW,THRESHOLD_ORANGE,THRESHOLD_RED,THRESHOLD_WATERINTAKE,THRESHOLD_NAVIGATION,THRESHOLD_MEAN,THRESHOLD_P05,THRESHOLD_P10,THRESHOLD_P90,THRESHOLD_P95,IMPORT,LATITUDE,LONGITUDE,ALTITUDE,TYPE,COUNTRY,ORGANIZATION,SUBBASIN
22,F4534D9D46150B5FD12676DC99ED05E12787680C,47BEF10439748057FFDEAC0E655B86E41E327C0B,744.0,metre,WHOS,,,,,,,,,,,,True,-28.51840072,-59.05931723,,,Argentina,INA,Rio Parana
41,DC15468BA16B8D90E1A61450B47D9B38219AFCB8,47BEF10439748057FFDEAC0E655B86E41E327C0B,744.0,metre,WHOS,,,,,,,,,,,,True,-34.1555854281116,-58.9581750062675,,,Argentina,INA,Rio Parana
73,DDB5F3CFF1E563D0C75257A976143F69FA626E27,47BEF10439748057FFDEAC0E655B86E41E327C0B,744.0,metre,WHOS,,,,,,,,,,,,True,-29.872652,-57.332887,,,Argentina,INA,Rio Uruguay
50,5DDC0B85A43A41AFA6919D06B82FA10863F503D0,47BEF10439748057FFDEAC0E655B86E41E327C0B,744.0,metre,WHOS,,,,,,,,,,,,True,-34.351576,-58.686115,,,Argentina,INA,Rio Parana
52,61E2F61769D326D7DC1544C1824AB5133EE45E76,47BEF10439748057FFDEAC0E655B86E41E327C0B,744.0,metre,WHOS,,,,,,,,,,,,True,-34.4333333333,-58.55,,,Argentina,INA,Rio Parana
18,63A1ADE93C452A399E5A5187A5C15EF7F27D40C4,47BEF10439748057FFDEAC0E655B86E41E327C0B,744.0,metre,WHOS,,,,,,,,,,,,True,-27.3333333333333,-58.5833333333333,,,Argentina,INA,Rio Parana
42,3010AEE13C1C05E3F80B72D0CCD97B4116D7A296,47BEF10439748057FFDEAC0E655B86E41E327C0B,744.0,metre,WHOS,,,,,,,,,,,,True,-34.3,-58.7333333333,,,Argentina,INA,Rio Parana
21,D7BF310BFDE2F3E70A058C5A755C0CE0B4FD47EA,47BEF10439748057FFDEAC0E655B86E41E327C0B,744.0,metre,WHOS,,,,,,,,,,,,True,-27.95412346,-58.81852419,,,Argentina,INA,Rio Parana
79,FB7404060DA544222C32F7A19374FB217127E928,47BEF10439748057FFDEAC0E655B86E41E327C0B,744.0,metre,WHOS,,,,,,,,,,,,True,-31.4,-58.0166666666667,,,Argentina,INA,Rio Uruguay
99,47660627436A20DDC7D98444A4A3C7C3E58A3DEF,47BEF10439748057FFDEAC0E655B86E41E327C0B,744.0,metre,WHOS,,,,,,,,,,,,True,-33.0144444444444,-58.5041666666667,,,Argentina,INA,Rio Uruguay
15,82D073A24311EEE66681ED4BBA42BB75FA9F978F,47BEF10439748057FFDEAC0E655B86E41E327C0B,744.0,metre,WHOS,,,,,,,,,,,,True,-27.5833333333333,-56.7,,,Argentina,INA,Rio Parana
25,6A24F7B4BBFA5FDC3455795F38CE850F9F63D0E1,47BEF10439748057FFDEAC0E655B86E41E327C0B,744.0,metre,WHOS,,,,,,,,,,,,True,-30.01924089,-59.53663483,,,Argentina,INA,Rio Parana
65,670DBE1488487406B9BFA7BBC32FFE83EF34D28B,47BEF10439748057FFDEAC0E655B86E41E327C0B,744.0,metre,WHOS,,,,,,,,,,,,True,-27.8833333333333,-55.1333333333333,,,Argentina,INA,Rio Uruguay
86,A573FA90F24A367B715477B925985B3927756959,47BEF10439748057FFDEAC0E655B86E41E327C0B,744.0,metre,WHOS,,,,,,,,,,,,True,-34.824196,-57.873546,,,Argentina,INA,Rio de la Plata
49,7200896402CF2439132DE71EFE741CE1F0114A5D,47BEF10439748057FFDEAC0E655B86E41E327C0B,744.0,metre,WHOS,,,,,,,,,,,,True,-34.4159316389634,-58.5779747237367,,,Argentina,INA,Rio Parana
39,B54397145A8B33AA534D90790E56565C775BB73E,47BEF10439748057FFDEAC0E655B86E41E327C0B,744.0,metre,WHOS,,,,,,,,,,,,True,-33.8006916108445,-59.4955962110789,,,Argentina,INA,Rio Parana
46,CC557B9AF21B77CE8B66E033E1BC3ECAE6ED8D63,47BEF10439748057FFDEAC0E655B86E41E327C0B,744.0,metre,WHOS,,,,,,,,,,,,True,-33.2166666667,-59.3666666667,,,Argentina,INA,Rio Parana
10,3437B9EF80504B6A2526BF065B78AB9DAE4BD857,47BEF10439748057FFDEAC0E655B86E41E327C0B,744.0,metre,WHOS,,,,,,,,,,,,True,-25.916679,-54.621134,,,Argentina,INA,Rio Parana
60,83E7B8B582A8A3FE42A371027368CCC84EB7BFFF,47BEF10439748057FFDEAC0E655B86E41E327C0B,744.0,metre,WHOS,,,,,,,,,,,,True,-27.153744,-53.933149,,,Argentina,INA,Rio Uruguay
69,FD659B06C6075E54A63CEFD27E89BB991DAA1932,47BEF10439748057FFDEAC0E655B86E41E327C0B,744.0,metre,WHOS,,,,,,,,,,,,True,-29.1,-56.55,,,Argentina,INA,Rio Uruguay
