STATION_ID,EXTERNAL_LOCATION_ID,EXTERNAL_PARAMETER_ID,TIMESTEP_HOUR,UNIT,IMPORT_SOURCE,THRESHOLD_LOW,THRESHOLD_YELLOW,THRESHOLD_RED,IMPORT,THRESHOLD_p05,THRESHOLD_p50,THRESHOLD_p95,LATITUDE,LONGITUDE,ALTITUDE,COUNTRY,ORGANIZATION,SUBBASIN
44,44,39,24.0,m,INA,1.0,2.85,3.0,True,,,,-33.8627031166646,-58.6604197120006,,Argentina,INA,Rio Parana
45,45,39,24.0,m,INA,0.4,2.0,2.3,True,0.108360657845039,0.9030737738466,2.41304644763144,-33.7619777376355,-59.1800594404244,,Argentina,INA,Rio Parana
46,46,39,24.0,m,INA,0.8,4.5,5.0,True,,,,-33.2166666667,-59.3666666667,,Argentina,INA,Rio Parana
47,47,39,24.0,m,INA,0.2,2.5,5.0,True,,,,-34.1902896924007,-58.2530455191105,,Argentina,INA,Rio de la Plata
48,48,39,24.0,m,INA,0.3,2.2,2.4,True,,,,-34.0166666667,-58.4,,Argentina,INA,Rio Parana
49,49,39,24.0,m,INA,0.2,3.3,3.8,True,,,,-34.4159316389634,-58.5779747237367,,Argentina,INA,Rio Parana
50,50,39,24.0,m,INA,0.2,2.3,2.8,True,,,,-34.351576,-58.686115,,Argentina,INA,Rio Parana
51,51,39,24.0,m,INA,1.0,3.2,3.8,True,,,,-34.2,-58.4833333333,,Argentina,INA,Rio Parana
52,52,39,24.0,m,INA,0.21,3.0,3.5,True,,,,-34.4333333333,-58.55,,Argentina,INA,Rio Parana
53,53,39,24.0,m,INA,0.3,3.0,3.5,True,,,,-34.457166,-58.507163,,Argentina,INA,Rio Parana
54,54,39,24.0,m,INA,0.1,3.0,3.8,True,0.25326503243277,0.978319677498823,1.92387975923351,-34.506666,-58.475863,,Argentina,INA,Rio Parana
55,55,39,24.0,m,INA,2.4,5.35,6.0,True,2.0274180294386,3.79639344267506,6.93181692837366,-25.3666666666667,-57.65,,Argentina,INA,Rio Paraguay
56,56,39,24.0,m,INA,0.0,6.0,6.4,True,,,,-25.451947,-57.568182,,Argentina,INA,Rio Paraguay
57,57,39,24.0,m,INA,3.2,7.8,8.3,True,,,,-26.1833333333333,-58.1833333333333,,Argentina,INA,Rio Paraguay
58,58,39,24.0,m,INA,,6.5,7.0,True,2.39561474290702,4.42636613311663,7.23965846645376,-26.92629,-58.506205,,Argentina,INA,Rio Paraguay
59,59,39,24.0,m,INA,2.5995,,,True,,,,-27.3166666666667,-58.6166666666667,,Argentina,INA,Rio Parana
60,60,39,24.0,m,INA,,,,True,0.255464482650446,2.26960381328082,7.69056013373078,-27.153744,-53.933149,,Argentina,INA,Rio Uruguay
61,61,39,24.0,m,INA,,,,True,0.596693991556194,1.81463114453144,5.60314206933715,-27.3,-54.2,,Argentina,INA,Rio Uruguay
62,62,39,24.0,m,INA,,,,True,,,,-27.4375,-54.3553,,Argentina,INA,Rio Uruguay
63,63,39,24.0,m,INA,,,,True,0.0337841534895486,2.44308742147977,6.08049180989708,-27.572,-54.678494,,Argentina,INA,Rio Uruguay
65,65,39,24.0,m,INA,1.3,8.0,10.0,True,0.870300543275687,1.96999999082805,5.17136611508541,-27.8833333333333,-55.1333333333333,,Argentina,INA,Rio Uruguay
66,66,39,24.0,m,INA,0.904,15.5,16.5,True,,,,-28.119193,-55.581369,,Argentina,INA,Rio Uruguay
67,67,39,24.0,m,INA,0.03,12.0,14.0,True,0.0816680310075197,1.90946720369527,7.79982237737687,-28.1833333333333,-55.65,,Argentina,INA,Rio Uruguay
68,68,39,24.0,m,INA,1.3,11.5,12.5,True,1.43000000356976,3.62389344009545,9.02189890804187,-28.55,-56.0333333333333,,Argentina,INA,Rio Uruguay
69,69,39,24.0,m,INA,0.89,9.5,11.0,True,,,,-29.1,-56.55,,Argentina,INA,Rio Uruguay
70,70,39,24.0,m,INA,0.26,9.5,11.5,True,,,,-29.18062,-56.633977,,Argentina,INA,Rio Uruguay
71,71,39,24.0,m,INA,0.0,9.5,10.5,True,,,,-29.470031,-56.810674,,Argentina,INA,Rio Uruguay
72,72,39,24.0,m,INA,1.4,7.5,8.5,True,1.09733606638804,3.12535519352376,7.6301639288501,-29.7166666666667,-57.0833333333333,,Argentina,INA,Rio Uruguay
73,73,39,24.0,m,INA,0.0,7.9,10.8,True,,,,-29.872652,-57.332887,,Argentina,INA,Rio Uruguay
74,74,39,24.0,m,INA,0.8,7.5,8.5,True,0.780218574518714,2.55374317384157,5.74178961717366,-30.25,-57.6333333333333,,Argentina,INA,Rio Uruguay
75,75,39,24.0,m,INA,5.24,10.3,12.0,True,,,,-30.715682,-57.81776,,Argentina,INA,Rio Uruguay
76,76,39,24.0,m,INA,31.25,,,True,,,,-30.993221,-57.914682,,Argentina,INA,Rio Uruguay
77,77,39,24.0,m,INA,33.0,35.5,36.0,True,32.2639891254446,34.6126230062683,35.4549178660242,-31.27547,-57.936945,,Argentina,INA,Rio Uruguay
78,78,39,24.0,m,INA,5.6,17.3,17.8,True,,,,-31.27547,-57.936945,,Argentina,INA,Rio Uruguay
79,79,39,24.0,m,INA,1.7,11.0,12.5,True,1.04502732514358,3.95856557452614,9.91928962410474,-31.4,-58.0166666666667,,Argentina,INA,Rio Uruguay
80,80,39,24.0,m,INA,1.4,7.1,7.9,True,0.884726774822819,2.38453552403737,6.13672129182868,-32.2333333333333,-58.1166666666667,,Argentina,INA,Rio Uruguay
81,81,39,24.0,m,INA,0.9,5.3,6.3,True,0.808674861336015,2.00743170220995,4.8862431824533,-32.4833333333333,-58.2333333333333,,Argentina,INA,Rio Uruguay
82,82,39,24.0,m,INA,0.0,5.3,6.3,True,0.766980873105304,1.83986339054472,4.16096994199388,-32.70101,-58.1834,,Argentina,INA,Rio Uruguay
84,84,39,24.0,m,INA,,2.9,3.1,True,0.741038251607144,1.49700819729456,2.79198086066324,-33.0666666666667,-58.4166666666667,,Argentina,INA,Rio Uruguay
85,85,39,24.0,m,INA,0.5,3.3,3.9,True,,,,-34.56108,-58.399288,,Argentina,INA,Rio de la Plata
86,86,39,24.0,m,INA,0.3,2.5,2.8,True,,,,-34.824196,-57.873546,,Argentina,INA,Rio de la Plata
99,99,39,24.0,m,INA,0.72,3.5,3.8,True,,,,-33.0144444444444,-58.5041666666667,,Argentina,INA,Rio Uruguay
103,103,39,24.0,m,INA,,4.7,,True,0.206453553103216,2.29948087533315,4.98915300734056,-31.4912222222222,-60.7805555555556,,Argentina,INA,Rio Parana
105,105,39,24.0,m,INA,,4.0,,True,,,,-29.2751666666667,-61.7439444444444,,Argentina,INA,Rio Parana
175,175,39,24.0,m,INA,,4.5,,True,,,,-31.042868,-60.841003,,Argentina,INA,Rio Parana
1016,1016,39,24.0,m,INA,,,,True,,,,-31.404212,-58.002561,,Argentina,INA,Rio Uruguay
1017,1017,39,24.0,m,INA,,,,True,,,,-29.470444,-56.81167,,Argentina,INA,Rio Uruguay
1019,1019,39,24.0,m,INA,,,,True,,,,-29.112957,-56.555522,,Argentina,INA,Rio Uruguay
1022,1022,39,24.0,m,INA,,,,True,,,,-30.992189,-57.913847,,Argentina,INA,Rio Uruguay
1035,1035,39,24.0,m,INA,,,,True,,,,-28.177515,-55.642269,,Argentina,INA,Rio Uruguay
1038,1038,39,24.0,m,INA,,,,True,,,,-27.298582,-54.193437,,Argentina,INA,Rio Uruguay
1039,1039,39,24.0,m,INA,,,,True,,,,-27.153304,-53.933283,,Argentina,INA,Rio Uruguay
1074,1074,39,24.0,m,INA,,,,True,,,,-30.249296,-57.622519,,Argentina,INA,Rio Uruguay
1077,1077,39,24.0,m,INA,,,,True,,,,-30.626772,-57.982836,,Argentina,INA,Rio Uruguay
1094,1094,39,24.0,m,INA,,3.5,,True,0.383661203778507,1.25146174202851,1.76980874251798,-29.867045,-60.337943,,Argentina,INA,Rio Parana
1257,1257,39,24.0,m,INA,,,,True,,,,-34.0752137139779,-58.4426647718186,,Argentina,INA,Rio Parana
1679,1679,39,24.0,m,INA,,4.7,,True,,,,-31.667601,-60.752233,,Argentina,INA,Rio Parana
1698,1698,39,24.0,m,INA,,,,True,,,,-34.356202,-58.633833,,Argentina,INA,Rio Parana
1701,1701,39,24.0,m,INA,,,,True,,,,-33.0666666666667,-58.4166666666667,,Argentina,INA,Rio Uruguay
1706,1706,39,24.0,m,INA,,,,True,,,,-35.0999984741211,-57.13330078125,,Argentina,INA,Rio de la Plata
1708,1708,39,24.0,m,INA,,,,True,,,,-34.8339004516602,-57.8800010681152,,Argentina,INA,Rio de la Plata
1739,1739,39,24.0,m,INA,,,,True,,,,-35.015278,-57.536111,,Argentina,INA,Rio de la Plata
1743,1743,39,24.0,m,INA,,,,True,,,,-34.7383417,-58.3096056,,Argentina,INA,Rio de la Plata
1744,1744,39,24.0,m,INA,,,,True,,,,-34.7277556,-58.3200389,,Argentina,INA,Rio de la Plata
1877,1877,39,24.0,m,INA,,,,True,,,,-34.185121,-58.501874,,Argentina,INA,Rio Parana
2111,2111,39,24.0,m,INA,,,,True,,,,-35.0880555555556,-60.1088888888889,,Argentina,INA,Rio de la Plata
2112,2112,39,24.0,m,INA,,,,True,,,,-32.7680555555556,-58.4983333333333,,Argentina,INA,Rio Uruguay
2113,2113,39,24.0,m,INA,,,,True,,,,-32.0177777777778,-60.9902777777778,,Argentina,INA,Rio Parana
2115,2115,39,24.0,m,INA,3.0,6.5,7.0,True,,,,-27.4597222222222,-58.8333333333333,,Argentina,INA,Rio Parana
2116,2116,39,24.0,m,INA,3.41,8.01,8.51,True,,,,-26.1830555555556,-58.1619444444444,,Argentina,INA,Rio Paraguay
2117,2117,39,24.0,m,INA,,,,True,,,,-34.2861111111111,-60.2591666666667,,Argentina,INA,Rio Parana
2119,2119,39,24.0,m,INA,,,,True,,,,-31.0105555555556,-62.7883333333333,,Argentina,INA,
2120,2120,39,24.0,m,INA,,,,True,,,,-30.9119444444444,-62.6777777777778,,Argentina,INA,
2121,2121,39,24.0,m,INA,,,,True,,,,-32.3922222222222,-60.9408333333333,,Argentina,INA,Rio Parana
2122,2122,39,24.0,m,INA,,,,True,,,,-36.8425,-66.9952777777778,,Argentina,INA,
2123,2123,39,24.0,m,INA,,,,True,,,,-36.3977777777778,-67.1402777777778,,Argentina,INA,
2125,2125,39,24.0,m,INA,,,,True,,,,-43.1747222222222,-71.6236111111111,,Argentina,INA,
2127,2127,39,24.0,m,INA,,,,True,,,,-36.2911111111111,-66.8291666666667,,Argentina,INA,
2129,2129,39,24.0,m,INA,,,,True,,,,-34.0866666666667,-60.0072222222222,,Argentina,INA,Rio Parana
2130,2130,39,24.0,m,INA,,,,True,,,,-35.0833333333333,-69.6041666666667,,Argentina,INA,
2131,2131,39,24.0,m,INA,2.74,6.84,7.54,True,,,,-27.2663888888889,-58.2444444444444,,Argentina,INA,Rio Parana
2132,2132,39,24.0,m,INA,2.6,5.2,5.7,True,,,,-29.165,-59.3283333333333,,Argentina,INA,Rio Parana
2133,2133,39,24.0,m,INA,4.16,7.11,7.76,True,,,,-25.3719444444444,-57.6502777777778,,Argentina,INA,Rio Paraguay
2135,2135,39,24.0,m,INA,,,,True,,,,-31.8552777777778,-69.6605555555556,,Argentina,INA,
2136,2136,39,24.0,m,INA,,,,True,,,,-35.1975,-69.7672222222222,,Argentina,INA,
2137,2137,39,24.0,m,INA,,,,True,,,,-35.8711111111111,-69.9502777777778,,Argentina,INA,
2139,2139,39,24.0,m,INA,,,,True,,,,-31.9741666666667,-60.9138888888889,,Argentina,INA,Rio Parana
2141,2141,39,24.0,m,INA,,,,True,,,,-42.9858333333333,-71.4877777777778,,Argentina,INA,
2142,2142,39,24.0,m,INA,,,,True,,,,-40.1197222222222,-71.6619444444444,,Argentina,INA,
2143,2143,39,24.0,m,INA,,,,True,,,,-45.9861111111111,-69.475,,Argentina,INA,
2144,2144,39,24.0,m,INA,,,,True,,,,-41.8986111111111,-71.5025,,Argentina,INA,
2145,2145,39,24.0,m,INA,,,,True,,,,-43.5280555555556,-71.6002777777778,,Argentina,INA,
2146,2146,39,24.0,m,INA,,,,True,,,,-51.8947222222222,-71.5975,,Argentina,INA,
2147,2147,39,24.0,m,INA,,,,True,,,,-51.9216666666667,-71.4947222222222,,Argentina,INA,
2148,2148,39,24.0,m,INA,,,,True,,,,-51.6883333333333,-69.6555555555556,,Argentina,INA,
2149,2149,39,24.0,m,INA,,,,True,,,,-25.6766666666667,-54.4213888888889,,Argentina,INA,Rio Parana
2150,2150,39,24.0,m,INA,,,,True,,,,-29.8458333333333,-57.675,,Argentina,INA,Rio Uruguay
2151,2151,39,24.0,m,INA,,,,True,,,,-38.4625,-58.7588888888889,,Argentina,INA,
2152,2152,39,24.0,m,INA,,,,True,,,,-43.2761111111111,-65.2733333333333,,Argentina,INA,
2154,2154,39,24.0,m,INA,,,,True,,,,-23.1405555555556,-64.1969444444445,,Argentina,INA,Rio Paraguay
2157,2157,39,24.0,m,INA,,,,True,,,,-43.8886111111111,-68.3983333333333,,Argentina,INA,
2158,2158,39,24.0,m,INA,,,,True,,,,-30.9236111111111,-59.5511111111111,,Argentina,INA,Rio Parana
2159,2159,39,24.0,m,INA,,,,True,,,,-41.5869444444444,-71.6836111111111,,Argentina,INA,
2160,2160,39,24.0,m,INA,,,,True,,,,-38.8216666666667,-64.9813888888889,,Argentina,INA,
2161,2161,39,24.0,m,INA,,,,True,,,,-45.6836111111111,-70.2522222222222,,Argentina,INA,
