STATION_ID,STATION_NAME,EXTERNAL_LOCATION_ID,EXTERNAL_PARAMETER_ID,TIMESTEP_HOUR,UNIT,IMPORT_SOURCE,THRESHOLD_LOW,THRESHOLD_YELLOW,THRESHOLD_ORANGE,THRESHOLD_RED,THRESHOLD_WATERINTAKE,THRESHOLD_NAVIGATION,THRESHOLD_MEAN,THRESHOLD_P05,THRESHOLD_P10,THRESHOLD_P90,THRESHOLD_P95,IMPORT,LATITUDE,LONGITUDE,ALTITUDE,TYPE,COUNTRY,ORGANIZATION,SUBBASIN,PARENT_ID,CHILD_ID
31,Diamante,31,39,24.0,m,INA,2.4,5.3,,5.5,,,3.73741803924894,2.21422130130028,,,5.46068308001659,True,-32.0715615377843,-60.6432219715378,,Conventional,Argentina,INA,Rio Parana,AR_INA_31,AR_INA_31_INA_24_H
32,Victoria,32,39,24.0,m,INA,2.48,4.6,,5.9,,,3.83504100119481,2.67577868472032,,,5.74668032093778,True,-32.6558456373673,-60.2195849446607,,Conventional,Argentina,INA,Rio Parana,AR_INA_32,AR_INA_32_INA_24_H
33,San Lorenzo (San Martín),33,39,24.0,m,INA,1.78,5.2,,5.7,,,3.81445358099182,2.15893442546084,,,5.48274587151783,True,-32.7336256031375,-60.7256705696322,,Conventional,Argentina,INA,Rio Parana,AR_INA_33,AR_INA_33_INA_24_H
34,Rosario,34,39,24.0,m,INA,1.64,5.0,,5.25,,,3.47096994796086,1.95898907041289,,,5.03474043757538,True,-32.9432699442268,-60.6308206029857,,Conventional,Argentina,INA,Rio Parana,AR_INA_34,AR_INA_34_INA_24_H
35,Villa Constitución,35,39,24.0,m,INA,1.3,4.0,,4.5,,,3.03428961996172,1.65050545774522,,,4.7361065989635,True,-33.2354221667103,-60.3091044341421,,Conventional,Argentina,INA,Rio Parana,AR_INA_35,AR_INA_35_INA_24_H
36,San Nicolás,36,39,24.0,m,INA,1.35,4.2,,5.0,,,2.67796446716851,1.46830601346949,,,4.30101095913538,True,-33.3420008188866,-60.1895279977149,,Conventional,Argentina,INA,Rio Parana,AR_INA_36,AR_INA_36_INA_24_H
37,Ramallo,37,39,24.0,m,INA,1.1,3.5,,4.0,,,2.37512296601071,1.24744535958181,,,4.01576504029863,True,-33.4780656197056,-59.9957013181522,,Conventional,Argentina,INA,Rio Parana,AR_INA_37,AR_INA_37_INA_24_H
38,San Pedro,38,39,24.0,m,INA,0.84,3.4,,3.6,,,1.89245901961144,0.952609283676564,,,3.44073770997303,True,-33.6745267329027,-59.6497183332918,,Conventional,Argentina,INA,Rio Parana,AR_INA_38,AR_INA_38_INA_24_H
39,Baradero,39,39,24.0,m,INA,0.7,2.7,,3.1,,,1.68532786245555,0.779781420781313,,,3.12290982665911,True,-33.8006916108445,-59.4955962110789,,Conventional,Argentina,INA,Rio Parana,AR_INA_39,AR_INA_39_INA_24_H
40,Zárate,40,39,24.0,m,INA,0.25,2.0,,2.2,,,0.868756828086624,0.270068310730444,,,1.86300546354283,True,-34.0987818311696,-59.0108657589595,,Conventional,Argentina,INA,Rio Parana,AR_INA_40,AR_INA_40_INA_24_H
41,Campana,41,39,24.0,m,INA,,2.2,,2.45,,,0.790874311507074,0.179795085447408,,,1.72206284211633,True,-34.1555854281116,-58.9581750062675,,Conventional,Argentina,INA,Rio Parana,AR_INA_41,AR_INA_41_INA_24_H
42,Escobar,42,39,24.0,m,INA,0.2,3.0,,3.5,,,,,,,,True,-34.3,-58.7333333333,,Conventional,Argentina,INA,Rio Parana,AR_INA_42,AR_INA_42_INA_24_H
43,Villa Paranacito,43,39,24.0,m,INA,1.1,2.3,,2.6,,,1.50120218920577,0.828005460930652,,,2.83058743854689,True,-33.7,-58.65,,Conventional,Argentina,INA,Rio Parana,AR_INA_43,AR_INA_43_INA_24_H
44,Canal Nuevo,44,39,24.0,m,INA,1.0,2.85,,3.0,,,,,,,,True,-33.8627031166646,-58.6604197120006,,Conventional,Argentina,INA,Rio Parana,AR_INA_44,AR_INA_44_INA_24_H
45,Ibicuy,45,39,24.0,m,INA,0.4,2.0,,2.3,,,0.9030737738466,0.108360657845039,,,2.41304644763144,True,-33.7619777376355,-59.1800594404244,,Conventional,Argentina,INA,Rio Parana,AR_INA_45,AR_INA_45_INA_24_H
