STATION_ID,STATION_NAME,STATION_SHORTNAME,TOOLTIP,LATITUDE,LONGITUDE,ALTITUDE,TYPE,COUNTRY,ORGANIZATION,SUBBASIN,PARENT_ID
2198,Aº Batel - Paso Cerrito,AºBatel-Paso,station 2198: Aº Batel - Paso Cerrito - property of RHN,-29.0311111111111,-58.7883333333333,,Automatic,Argentina,INA,Rio Parana,AR_INA_2198
2199,Corrientes - Los Laureles,Corrientes-L,station 2199: Corrientes - Los Laureles - property of RHN,-29.7572222222222,-59.2172222222222,,Automatic,Argentina,INA,Rio Parana,AR_INA_2199
2201,A° El Soberbio - Pje La Lechuz,A°ElSoberbio,station 2201: A° El Soberbio - Pje La Lechuz - property of RHN,-27.2572222222222,-54.2355555555556,,Automatic,Argentina,INA,Rio Uruguay,AR_INA_2201
2202,Cuarto - RN Nº 8,Cuarto-RNNº8,station 2202: Cuarto - RN Nº 8 - property of RHN,-33.1605555555556,-64.26,,Automatic,Argentina,INA,Rio Parana,AR_INA_2202
2203,Gualeguay - Rosario del Tala,Gualeguay-Ro,station 2203: Gualeguay - Rosario del Tala - property of RHN,-32.3086111111111,-59.0769444444445,,Automatic,Argentina,INA,Rio Parana,AR_INA_2203
2204,Carcarañá - Pueblo Andino,Carcarañá-Pu,station 2204: Carcarañá - Pueblo Andino - property of RHN,-32.6733333333333,-60.8658333333333,,Automatic,Argentina,INA,Rio Parana,AR_INA_2204
2205,Gualeguay - Villaguay,Gualeguay-Vi,station 2205: Gualeguay - Villaguay - property of RHN,-31.8016666666667,-59.1261111111111,,Automatic,Argentina,INA,Rio Parana,AR_INA_2205
2211,Salado - RP Nº50,Salado-RPNº5,station 2211: Salado - RP Nº50 - property of RHN,-34.3225,-61.3513888888889,,Automatic,Argentina,INA,Rio de la Plata,AR_INA_2211
2213,Canal Regulador N°4 - La Pantanosa,CanalRegulad,station 2213: Canal Regulador N°4 - La Pantanosa - property of RHN,-34.2580555555556,-61.6386111111111,,Automatic,Argentina,INA,Rio de la Plata,AR_INA_2213
2215,Río Areco - San Antonio de Are,RíoAreco-San,station 2215: Río Areco - San Antonio de Are - property of RHN,-34.2405555555556,-59.4994444444444,,Automatic,Argentina,INA,Rio Parana,AR_INA_2215
2218,Cruz Alta,CruzAlta,station 2218: Cruz Alta - property of RHN,-33.0063888888889,-61.7875,,Automatic,Argentina,INA,Rio Parana,AR_INA_2218
2223,Salado - Suncho Corral,Salado-Sunch,station 2223: Salado - Suncho Corral - property of RHN,-27.9402777777778,-63.4397222222222,,Automatic,Argentina,INA,Rio Parana,AR_INA_2223
2227,Salado - RN Nº02,Salado-RNNº0,station 2227: Salado - RN Nº02 - property of RHN,-35.9622222222222,-57.8519444444444,,Automatic,Argentina,INA,Rio de la Plata,AR_INA_2227
2233,Concepción del Uruguay - CARU,CONCURUG,station 2233: Concepción del Uruguay - CARU - property of CARU,-32.477173,-58.221219,,Automatic,Argentina,INA,Rio Uruguay,AR_INA_2233
2593,Arenales - La Maroma,Arenales-LaM,station 2593: Arenales - La Maroma - property of RHN,-25.1538888888889,-65.42,,Automatic,Argentina,INA,Rio Parana,AR_INA_2593
2671,Canal Finca Agropecuaria,CanalFincaAg,station 2671: Canal Finca Agropecuaria - property of RHN,-25.1608333333333,-64.1058333333333,,Automatic,Argentina,INA,Rio Parana,AR_INA_2671
2672,Juramento - Finca Agropecuari,Juramento-Fi,station 2672: Juramento - Finca Agropecuari - property of RHN,-25.1613888888889,-64.1061111111111,,Automatic,Argentina,INA,Rio Parana,AR_INA_2672
2673,Colastiné - RN N° 168,Colastiné-RN,station 2673: Colastiné - RN N° 168 - property of RHN,-31.6611111111111,-60.6019444444444,,Automatic,Argentina,INA,Rio Parana,AR_INA_2673
2741,Iruya - Tuc Tuca,Iruya-TucTuc,station 2741: Iruya - Tuc Tuca - property of RHN,-22.4044444444444,-65.2675,,Automatic,Argentina,INA,Rio Paraguay,AR_INA_2741
2807,Salado - El Arenal,Salado-ElAre,station 2807: Salado - El Arenal - property of RHN,-26.3741666666667,-63.7244444444444,,Automatic,Argentina,INA,Rio Parana,AR_INA_2807
2809,Quinto - RP Nº26,Quinto-RPNº2,station 2809: Quinto - RP Nº26 - property of RHN,-34.7627777777778,-63.645,,Automatic,Argentina,INA,,AR_INA_2809
2813,Miriñay - Paso Mesa,Miriñay-Paso,station 2813: Miriñay - Paso Mesa - property of RHN,-28.9166666666667,-57.2363888888889,,Automatic,Argentina,INA,Rio Uruguay,AR_INA_2813
2820,PN - Centro Operativo Santa Ro,PN-CentroOpe,station 2820: PN - Centro Operativo Santa Ro - property of RHN,-27.2852777777778,-65.8719444444444,,Automatic,Argentina,INA,,AR_INA_2820
2822,Pilcomayo - El Raúl,Pilcomayo-El,station 2822: Pilcomayo - El Raúl - property of RHN,-22.65,-62.2163888888889,,Automatic,Argentina,INA,Rio Paraguay,AR_INA_2822
2823,Juramento - Cabra Corral,Juramento-Ca,station 2823: Juramento - Cabra Corral - property of RHN,-25.2677777777778,-65.2372222222222,,Automatic,Argentina,INA,Rio Parana,AR_INA_2823
2825,Santa Lucia - Santa Lucia,SantaLucia-S,station 2825: Santa Lucia - Santa Lucia - property of RHN,-28.9877777777778,-59.0905555555556,,Automatic,Argentina,INA,Rio Parana,AR_INA_2825
2826,Pilcomayo - Puesto Jerez,Pilcomayo-Pu,station 2826: Pilcomayo - Puesto Jerez - property of RHN,-22.7280555555556,-62.2133333333333,,Automatic,Argentina,INA,Rio Paraguay,AR_INA_2826
2829,San Javier - San Javier,SanJavier-Sa,station 2829: San Javier - San Javier - property of RHN,-30.5802777777778,-59.9233333333333,,Automatic,Argentina,INA,Rio Parana,AR_INA_2829
2830,Paraná Guazú - Brazo Largo,BLARGOAUT,station 2830: Paraná Guazú - Brazo Largo - property of RHN,-33.8830555555556,-58.9,,Automatic,Argentina,INA,Rio Parana,AR_INA_2830
2832,Corriente - Paso Lucero,Corriente-Pa,station 2832: Corriente - Paso Lucero - property of RHN,-28.995,-58.5583333333333,,Automatic,Argentina,INA,Rio Parana,AR_INA_2832
2833,Aº Leyes - RP Nº 1,AºLeyes-RPNº,station 2833: Aº Leyes - RP Nº 1 - property of RHN,-31.4947222222222,-60.425,,Automatic,Argentina,INA,Rio Parana,AR_INA_2833
2836,Aº Barrancas - Paso La Llana,AºBarrancas-,station 2836: Aº Barrancas - Paso La Llana - property of RHN,-30.2172222222222,-59.3244444444444,,Automatic,Argentina,INA,Rio Parana,AR_INA_2836
2837,Nogoya - RN Nº12,Nogoya-RNNº1,station 2837: Nogoya - RN Nº12 - property of RHN,-32.3947222222222,-59.7638888888889,,Automatic,Argentina,INA,Rio Parana,AR_INA_2837
2838,Aº Saladillo - RN Nº205,AºSaladillo-,station 2838: Aº Saladillo - RN Nº205 - property of RHN,-35.4594444444445,-59.5747222222222,,Automatic,Argentina,INA,Rio de la Plata,AR_INA_2838
2846,Pilcomayo - Misión La Paz,Pilcomayo-Mi,station 2846: Pilcomayo - Misión La Paz - property of RHN,-22.3775,-62.5236111111111,,Automatic,Argentina,INA,Rio Paraguay,AR_INA_2846
2853,Gualeguay - Paso Alonso,Gualeguay-Pa,station 2853: Gualeguay - Paso Alonso - property of RHN,-33.1005555555556,-59.2702777777778,,Automatic,Argentina,INA,Rio Parana,AR_INA_2853
2854,Aº Riachuelo - RP Nº5,AºRiachuelo-,station 2854: Aº Riachuelo - RP Nº5 - property of RHN,-27.5105555555556,-58.5697222222222,,Automatic,Argentina,INA,Rio Parana,AR_INA_2854
2855,Salado - RP Nº 41,Salado-RPNº4,station 2855: Salado - RP Nº 41 - property of RHN,-35.7263888888889,-58.5363888888889,,Automatic,Argentina,INA,Rio de la Plata,AR_INA_2855
2856,San Fransisco Caimancito,SanFransisco,station 2856: San Fransisco Caimancito - property of RHN,-23.7119444444444,-64.5397222222222,,Automatic,Argentina,INA,Rio Paraguay,AR_INA_2856
2857,Paraná - Chapetón,Paraná-Chape,station 2857: Paraná - Chapetón - property of RHN,-31.6105555555556,-60.2947222222222,,Automatic,Argentina,INA,Rio Parana,AR_INA_2857
5430,Federación Embalse,FederaciónEm,station 5430: Federación Embalse - property of PNA,-30.994853,-57.899273,,Conventional,Argentina,INA,Rio Uruguay,AR_INA_5430
5873,Arroyo Las Piedras - Gob. Monteverde,LASPIEDRAS2,station 5873: Arroyo Las Piedras - Gob. Monteverde - property of INA,-34.783421,-58.298648,,Automatic,Argentina,INA,Rio de la Plata,AR_INA_5873
5874,Arroyo San Francisco - Dr. Torre,ArroyoSanFra,station 5874: Arroyo San Francisco - Dr. Torre,-34.7650541,-58.3234008,,Automatic,Argentina,INA,Rio de la Plata,AR_INA_5874
