STATION_ID,EXTERNAL_LOCATION_ID,EXTERNAL_PARAMETER_ID,TIMESTEP_HOUR,UNIT,IMPORT_SOURCE,THRESHOLD_YELLOW,THRESHOLD_ORANGE,THRESHOLD_RED,THRESHOLD_MEAN,THRESHOLD_P05,THRESHOLD_P10,THRESHOLD_P90,THRESHOLD_P95,IMPORT,LATITUDE,LONGITUDE,ALTITUDE,TYPE,COUNTRY,ORGANIZATION,SUBBASIN
0-76-0-5107750000000283,301B0A3211077AA2CCA05F9458E1A503F8D7B1F3,AEAF735EBFC73611C8A50B6D0319BD4258B45918,24.0,millimetre,WHOS,,,,,,,,,True,-15.12472221,-58.12722221,,,Brazil,INMET,Rio Paraguay
0-76-4-3154016,D0341C55B6B567888C014C2CADEDA1BE16158C0A,AEAF735EBFC73611C8A50B6D0319BD4258B45918,24.0,millimetre,WHOS,,,,,,,,,True,-31.0222,-54.1847,,,Brazil,WHOS,Rio Uruguay
0-76-4-86160010,E7B906037E2BF3C0C085740B782FC6C0FB2DF50C,AEAF735EBFC73611C8A50B6D0319BD4258B45918,24.0,millimetre,WHOS,,,,,,,,,True,-28.8681,-50.4561,,,Brazil,WHOS,
0-76-0-5205109000000286,F6C5AA4468D737A19AA12FEB0DF93228760D77BE,AEAF735EBFC73611C8A50B6D0319BD4258B45918,24.0,millimetre,WHOS,,,,,,,,,True,-18.154779,-47.927614,,,Brazil,INMET,Rio Parana
0-76-4-60670100,83FD354FC177C33951D0C36BB2FCCAC2A0C57646,AEAF735EBFC73611C8A50B6D0319BD4258B45918,24.0,millimetre,WHOS,,,,,,,,,True,-17.3878,-49.2178,,,Brazil,WHOS,Rio Parana
0-76-4-24210100,16A422256C2D7B8A38B3809501D6B6ABB6A49ED2,AEAF735EBFC73611C8A50B6D0319BD4258B45918,24.0,millimetre,WHOS,,,,,,,,,True,-17.3306,-52.8025,,,Brazil,WHOS,
0-76-0-4219002000000368,F63399C6CBED268A234BA026306555FB7EF9F275,AEAF735EBFC73611C8A50B6D0319BD4258B45918,24.0,millimetre,WHOS,,,,,,,,,True,-28.53249999,-49.31527777,,,Brazil,INMET,
0-76-0-4312500000000315,D7533671E2BB8AE80D89C9F8E8F2A381CE62568E,AEAF735EBFC73611C8A50B6D0319BD4258B45918,24.0,millimetre,WHOS,,,,,,,,,True,-31.24833333,-50.90638888,,,Brazil,INMET,
0-76-4-72715000,7546E5179113F418A0FEE6E0AAC20CD8CE79A63B,AEAF735EBFC73611C8A50B6D0319BD4258B45918,24.0,millimetre,WHOS,,,,,,,,,True,-26.8958,-51.0756,,,Brazil,WHOS,Rio Uruguay
0-76-4-61684000,5F0C5EE04E623C91E96CB7D642B6F74357547675,AEAF735EBFC73611C8A50B6D0319BD4258B45918,24.0,millimetre,WHOS,,,,,,,,,True,-20.8533,-46.7031,,,Brazil,WHOS,Rio Parana
0-76-4-64390000,6ABDC96D2FE0710F6D0CC61987EF016EF673E854,AEAF735EBFC73611C8A50B6D0319BD4258B45918,24.0,millimetre,WHOS,,,,,,,,,True,-23.1225,-50.4503,,,Brazil,WHOS,Rio Parana
0-76-4-64444000,2E1B547F1C056DDC6834AEFDAE275C0E0054590B,AEAF735EBFC73611C8A50B6D0319BD4258B45918,24.0,millimetre,WHOS,,,,,,,,,True,-25.0756,-50.3889,,,Brazil,WHOS,Rio Parana
0-76-4-74200500,EA1BB426F1303550548E4C997D3DE1BEA465E1FD,AEAF735EBFC73611C8A50B6D0319BD4258B45918,24.0,millimetre,WHOS,,,,,,,,,True,-26.5406,-53.4375,,,Brazil,WHOS,Rio Uruguay
0-76-4-60229000,01E237EC1E74D5E727162526B060FA5CCCCCB600,AEAF735EBFC73611C8A50B6D0319BD4258B45918,24.0,millimetre,WHOS,,,,,,,,,True,-19.6553,-47.4497,,,Brazil,WHOS,Rio Parana
0-76-0-3556305000000245,9E307DDA4D2566E05CD4498D585AC2BAE2742ECE,AEAF735EBFC73611C8A50B6D0319BD4258B45918,24.0,millimetre,WHOS,,,,,,,,,True,-21.31916666,-50.93027777,,,Brazil,INMET,Rio Parana
0-76-4-87905000,47051AAEAF12C8B7B1C2C7EBACCCACA65866C040,AEAF735EBFC73611C8A50B6D0319BD4258B45918,24.0,millimetre,WHOS,,,,,,,,,True,-31.0119,-52.0525,,,Brazil,WHOS,
0-76-4-60960700,5805C52F3960099A4377C05E728E218973C746C1,AEAF735EBFC73611C8A50B6D0319BD4258B45918,24.0,millimetre,WHOS,,,,,,,,,True,-18.74,-52.2836,,,Brazil,WHOS,Rio Parana
0-76-4-64270080,2C17565E49B9E9B6FC03DE0F5F6FB568D99BBEED,AEAF735EBFC73611C8A50B6D0319BD4258B45918,24.0,millimetre,WHOS,,,,,,,,,True,-23.1281,-49.7317,,,Brazil,WHOS,Rio Parana
0-76-4-61197900,F5A7C6FC96A9AB1B41C70C1FA5DD6513097F6941,AEAF735EBFC73611C8A50B6D0319BD4258B45918,24.0,millimetre,WHOS,,,,,,,,,True,-20.7494,-44.9819,,,Brazil,WHOS,Rio Parana
0-76-4-66071385,50B43AB5BC6276CAFBC0430F40643C2F75453F1F,AEAF735EBFC73611C8A50B6D0319BD4258B45918,24.0,millimetre,WHOS,,,,,,,,,True,-15.2378,-58.7297,,,Brazil,WHOS,Rio Paraguay
0-76-0-5106307000000160,FD9EBD97BDF413E8E3A6C84BD8CC497E3BAE4263,AEAF735EBFC73611C8A50B6D0319BD4258B45918,24.0,millimetre,WHOS,,,,,,,,,True,-14.42138888,-54.0361111,,,Brazil,INMET,
0-76-4-61873600,D8ACABC50BC319A74CCF20CA70B7B7B92C30270F,AEAF735EBFC73611C8A50B6D0319BD4258B45918,24.0,millimetre,WHOS,,,,,,,,,True,-22.2592,-46.675,,,Brazil,WHOS,Rio Parana
0-76-4-44634500,5239B4A056EB97E52BAAECC42BD541A99934E987,AEAF735EBFC73611C8A50B6D0319BD4258B45918,24.0,millimetre,WHOS,,,,,,,,,True,-16.065,-43.7306,,,Brazil,WHOS,
0-76-4-3154011,385D894A3F0582BF3760719B4265C225337F79CF,AEAF735EBFC73611C8A50B6D0319BD4258B45918,24.0,millimetre,WHOS,,,,,,,,,True,-31.8661,-54.1672,,,Brazil,WHOS,
