,STATION_ID,STATION_NAME,STATION_SHORTNAME,TOOLTIP,LATITUDE,LONGITUDE,ALTITUDE,COUNTRY,ORGANIZATION,SUBBASIN,ORIGINAL_STATION_ID
0,000BE3CB65DF1F7D571EF045272E048FCD0072BD,PORTO MAUÁ,PORTOMAUÁ,PORTO MAUÁ,-27.5781,-54.6831,,Brazil,National Water Agency of Brazil,Río Uruguay,74720000
1,002403599F381B2F8F7A4C4ED973FBAF03CAB149,CAXIAS DO SUL - SANTA FE,CAXIASDOSUL-,CAXIAS DO SUL - SANTA FE,-29.125,-51.179,,Brazil,WHOS,,0-76-4- 430510801A
2,002DFD2CCAF2AC386A9F252EF4EA313A9E615598,PCH ENG. JOSÉ GELÁSIO DA ROCHA BARRAMENTO,PCHENG.JOSÉG,PCH ENG. JOSÉ GELÁSIO DA ROCHA BARRAMENTO,-16.7128,-54.7478,,Brazil,National Water Agency of Brazil,Río Paraguay,66453000
3,002E6BCF79185B7891784205217E2ED958098F81,INDAIAL - ESTRADINHA,INDAIAL-ESTR,INDAIAL - ESTRADINHA,-26.8808,-49.2852,,Brazil,WHOS,,0-76-4- 420750201A
4,00338D8993E5003D0A41D1942BC4E20553907219,JAGUARIUNA - DELEGACIA DE POLICIA,JAGUARIUNA-D,JAGUARIUNA - DELEGACIA DE POLICIA,-22.7036,-46.98556,,Brazil,WHOS,Río Paraná,0-76-4- 352470901A
5,004BAF6F284B4A848A96490D94F0EC354BC9CBBB,GUALAXO NORTE 08 - BARRA LONGA,GUALAXONORTE,GUALAXO NORTE 08 - BARRA LONGA,-20.2858,-43.0658,,Brazil,National Water Agency of Brazil,,56336240
6,004CC06CDC3091C5D8C56777E6D6510DA7410877,RIO DO POUSO,RIODOPOUSO,RIO DO POUSO,-28.4206,-49.1064,,Brazil,National Water Agency of Brazil,,84580000
7,004EE5C6F3BAFB143A3E0A94BCC6D2C6FD30AA79,CANGUCU - SANTA CLARA,CANGUCU-SANT,CANGUCU - SANTA CLARA,-31.35449,-52.89736,,Brazil,WHOS,,0-76-4- 430450701A
8,0073A5FB05E42702BC76D9823CC1631EABE2F781,PORTO ALEGRE - CIDADE BAIXA,PORTOALEGRE-,PORTO ALEGRE - CIDADE BAIXA,-30.03932,-51.22765,,Brazil,WHOS,,0-76-4- 431490205A
9,0077D7E2BF65D26E5408DE298E5AE20C6484D268,"Caazapa, Dpto de Caazapa","Caazapa,Dpto","Caazapa, Dpto de Caazapa",-26.16985556,-56.359875,,Paraguay,"Dirección de Meteorología e Hidrología (DMH), Paraguay",Río Paraguay,06000268
10,007FFA33587C7EEBAC615F4369521ED4228B9BF6,MOJI DAS CRUZES - VILA ANDRADE,MOJIDASCRUZE,MOJI DAS CRUZES - VILA ANDRADE,-23.482764,-46.085967,,Brazil,WHOS,,0-76-4- 353060701A
11,008A3B28C2C216A50B63EA850C943E2EA52DE200,victoria,victoria,victoria,-32.6127777777778,-60.1391666666667,,Argentina,Instituto Nacional del Agua (INA),Río Paraná,emas:920
12,00929CA05BD5A2A08091424D0231BEFEDBF1C4B9,SAO PAULO - VILA ARICANDUVA,SAOPAULO-VIL,SAO PAULO - VILA ARICANDUVA,-23.569,-46.504,,Brazil,WHOS,Río Paraná,0-76-4- 355030859A
13,00A15AD2A7B460CF3EB1E5F3A317AD97BDA12821,ITAJAI,ITAJAI,ITAJAI,-26.910393,-48.660379,,Brazil,WHOS,,0-76-4-420820301A
14,00AA97998608EFCB16FF3E9AA98706B2854DCF15,CASCAVEL - UN. DE SAUDE CENTRO,CASCAVEL-UN.,CASCAVEL - UN. DE SAUDE CENTRO,-24.9571,-53.45782,,Brazil,WHOS,Río Paraná,0-76-4- 410480804A
15,00B07F3872D3D7107095B6ED2B80F6B15BDC5193,JACAREZINHO,JACAREZINHO,JACAREZINHO,-23.15,-49.97,,Brazil,INMET,Río Paraná,0-76-0-4111803000W83769
16,00BBA1F0C288DD6B35120E54D437A1CB09D85C4F,RIO DE JANEIRO - EM JORNALISTA BRITO BROCA,RIODEJANEIRO,RIO DE JANEIRO - EM JORNALISTA BRITO BROCA,-22.943,-43.241,,Brazil,WHOS,,0-76-4- 330455730A
17,00BBEAFAC662743ED0023E34E4B16B5964160089,FAZENDA SÃO CARLOS,FAZENDASÃOCA,FAZENDA SÃO CARLOS,-16.6075,-47.3258,,Brazil,National Water Agency of Brazil,Río Paraná,60018900
18,00BDE074C6D1D537BF906D8918D2EC352E10491F,MONTE ALEGRE DO SUL - CENTRO,MONTEALEGRED,MONTE ALEGRE DO SUL - CENTRO,-22.68455,-46.67947,,Brazil,WHOS,Río Paraná,0-76-4- 353120901A
19,00BFDEE51D8F89D5B91B5F0D6529AF4F220B64D3,NIQUELANDIA - AVENIDA BRASIL,NIQUELANDIA-,NIQUELANDIA - AVENIDA BRASIL,-14.458,-48.437,,Brazil,WHOS,,0-76-4- 521460601A
20,00CA430CE3A27B18FEBE559B9A359C0D9D9F7B65,UHE PIRAJU BARRAMENTO,UHEPIRAJUBAR,UHE PIRAJU BARRAMENTO,-23.1544,-49.38,,Brazil,National Water Agency of Brazil,Río Paraná,64219080
21,00D3297FBC6A70359AC9C78EC0A56AE2EBBD8B6C,Aporte Salto Grande,AporteSaltoG,Aporte Salto Grande,-31.273969,-57.938011,,Argentina,Instituto Nacional del Agua (INA),Río Uruguay,alturas_prefe:89
22,00D4C89DF6DAB60193E530424B28FA7D07FA4BB9,CGH AGUTI BARRAMENTO,CGHAGUTIBARR,CGH AGUTI BARRAMENTO,-27.3194,-49.1008,,Brazil,National Water Agency of Brazil,,84075000
23,00E2C7AB63893564BB8EE190960684F987E7009A,PENHA,PENHA,PENHA,-22.82,-43.22,,Brazil,INMET,,0-76-0-3304557000W83791
