,STATION_ID,STATION_NAME,STATION_SHORTNAME,TOOLTIP,LATITUDE,LONGITUDE,ALTITUDE,TYPE,COUNTRY,ORGANIZATION,SUBBASIN
1326,0-76-4-1849035,CGH SANTA LUZIA SE ITUIUTABA,CGHSANTALUZI,CGH SANTA LUZIA SE ITUIUTABA,-18.9636,-49.4483,,,Brazil,WHOS,Rio Parana
1327,0-76-4-84580500,TUBARAO,TUBARAO,TUBARAO,-28.47,-48.9917,,,Brazil,WHOS,
1328,0-76-4-61566000,PCH POCO FUNDO JUSANTE,PCHPOCOFUNDO,PCH POCO FUNDO JUSANTE,-21.7383,-45.9583,,,Brazil,WHOS,Rio Parana
1329,0-76-0-3303302000000580,NITEROI,NITEROI,NITEROI,-22.86749999,-43.10194444,,,Brazil,INMET,
1330,0-76-4-41990000,VARZEA DA PALMA,VARZEADAPALM,VARZEA DA PALMA,-17.5961,-44.7133,,,Brazil,WHOS,
1331,0-76-4-58234900,PCH LAVRINHAS JUSANTE,PCHLAVRINHAS,PCH LAVRINHAS JUSANTE,-22.5628,-44.8597,,,Brazil,WHOS,
1332,0-76-4-63000100,PCH COSTA RICA MONTANTE 1,PCHCOSTARICA,PCH COSTA RICA MONTANTE 1,-18.5478,-53.1228,,,Brazil,WHOS,Rio Parana
1333,0-76-0-3164209000000218,SAO ROMAO,SAOROMAO,SAO ROMAO,-16.36277777,-45.12388888,,,Brazil,INMET,
1334,0-76-0-4113304000000525,LARANJEIRAS DO SUL,LARANJEIRASD,LARANJEIRAS DO SUL,-25.36888888,-52.39194444,,,Brazil,INMET,Rio Parana
1335,0-76-0-3556305000000245,VALPARAISO,VALPARAISO,VALPARAISO,-21.31916666,-50.93027777,,,Brazil,INMET,Rio Parana
1336,0-76-4-60908000,UHE ENG. JOSE LUIZ MULLER BARRAMENTO,UHEENG.JOSEL,UHE ENG. JOSE LUIZ MULLER BARRAMENTO,-19.1164,-50.6417,,,Brazil,WHOS,Rio Parana
1337,0-76-4-75230000,SANTO ANGELO,SANTOANGELO,SANTO ANGELO,-28.3553,-54.2675,,,Brazil,WHOS,Rio Uruguay
1338,0-76-4-58434500,PCH FAGUNDES BARRAMENTO,PCHFAGUNDESB,PCH FAGUNDES BARRAMENTO,-22.2183,-43.1653,,,Brazil,WHOS,
1339,0-76-4-64477000,PCH CASTRO MONTANTE 1,PCHCASTROMON,PCH CASTRO MONTANTE 1,-24.7506,-50.0881,,,Brazil,WHOS,Rio Parana
1340,0-76-4-66064000,ESTRADA MT-125,ESTRADAMT-12,ESTRADA MT-125,-15.4686,-57.8936,,,Brazil,WHOS,Rio Paraguay
1341,0-76-0-3111101000000085,CAMPINA VERDE,CAMPINAVERDE,CAMPINA VERDE,-19.53921,-49.518133,,,Brazil,INMET,Rio Parana
1342,0-76-4-61060000,FAZENDA LARANJEIRAS,FAZENDALARAN,FAZENDA LARANJEIRAS,-21.6889,-44.3508,,,Brazil,WHOS,Rio Parana
1343,0-76-4-84520008,PCH SANTA ROSA BARRAMENTO,PCHSANTAROSA,PCH SANTA ROSA BARRAMENTO,-28.0131,-49.1225,,,Brazil,WHOS,
1344,0-76-4-64571080,UHE ROSANA BARRAMENTO,UHEROSANABAR,UHE ROSANA BARRAMENTO,-22.6042,-52.8753,,,Brazil,WHOS,Rio Parana
1345,0-76-4-58548400,PCH MELLO BARRAMENTO,PCHMELLOBARR,PCH MELLO BARRAMENTO,-22.0397,-43.78,,,Brazil,WHOS,
1346,0-76-0-3104007000000037,ARAXA,ARAXA,ARAXA,-19.60583333,-46.94972221,,,Brazil,INMET,Rio Parana
1347,0-76-0-4209300000000497,LAGES,LAGES,LAGES,-27.80222222,-50.33555555,,,Brazil,INMET,Rio Uruguay
1348,0-76-4-81499200,UHE JURUPARA JUSANTE,UHEJURUPARAJ,UHE JURUPARA JUSANTE,-23.9722,-47.3872,,,Brazil,WHOS,
1349,0-76-4-60472240,PIPIRIPAU MONTANTE CANAL,PIPIRIPAUMON,PIPIRIPAU MONTANTE CANAL,-15.6397,-47.5742,,,Brazil,WHOS,Rio Parana
1350,1043,Quintana,Quintana,Quintana,-31.350331,-56.392531,,,Uruguay,INA,Rio Uruguay
1351,0-76-4-41075001,PORTO DO PASSARINHO,PORTODOPASSA,PORTO DO PASSARINHO,-18.4031,-45.7369,,,Brazil,WHOS,
1352,19024,CORUMBA,CORUMBA,CORUMBA,-17.9922222,-48.5286111,,,Brazil,SAR - Agência Nacional de Águas (ANA),Rio Parana
1353,19119,TRÊS MARIAS,TRÊSMARIAS,TRÊS MARIAS,-18.2005556,-45.2836111,,,Brazil,SAR - Agência Nacional de Águas (ANA),
1354,0-76-4-86471000,UHE 14 DE JULHO JUSANTE,UHE14DEJULHO,UHE 14 DE JULHO JUSANTE,-29.0797,-51.6814,,,Brazil,WHOS,
1355,0-76-0-4317103000000015,SANTANA DO LIVRAMENTO,SANTANADOLIV,SANTANA DO LIVRAMENTO,-30.75055555,-55.40138888,,,Brazil,INMET,Rio Uruguay
1356,0-76-4-70845000,PCH SAO BERNARDO BARRAMENTO,PCHSAOBERNAR,PCH SAO BERNARDO BARRAMENTO,-27.7381,-51.3133,,,Brazil,WHOS,Rio Uruguay
1357,0-76-4-73553000,PCH CONTESTADO RIO ROSEIRA,PCHCONTESTAD,PCH CONTESTADO RIO ROSEIRA,-26.7019,-51.605,,,Brazil,WHOS,Rio Uruguay
1358,0-76-4-2250097,UHE CANOAS I CANDIDO MOTTA,UHECANOASICA,UHE CANOAS I CANDIDO MOTTA,-22.7533,-50.4694,,,Brazil,WHOS,Rio Parana
1359,0-76-4-41153050,PCH RIO DE PEDRAS RIO MARACUJA,PCHRIODEPEDR,PCH RIO DE PEDRAS RIO MARACUJA,-20.2628,-43.6975,,,Brazil,WHOS,
1360,0-76-2-3518701000W83599,MOELA,MOELA,MOELA,-24.047778,-46.263333,,,Brazil,WHOS,
1361,0-76-4-76431995,PONTE RIO JAGUARI,PONTERIOJAGU,PONTE RIO JAGUARI,-29.4997,-54.6889,,,Brazil,WHOS,Rio Uruguay
1362,20,Barranqueras,Barranqueras,Barranqueras,-27.4833333333333,-58.9333333333333,,,Argentina,INA,Rio Parana
1363,0-76-4-64785000,PONTE DO GOIO - BANG,PONTEDOGOIO-,PONTE DO GOIO - BANG,-24.5544,-52.9014,,,Brazil,WHOS,Rio Parana
1364,0-76-4-61830000,UHE MARIMBONDO FAZENDA CORREDEIRA,UHEMARIMBOND,UHE MARIMBONDO FAZENDA CORREDEIRA,-21.3183,-47.4767,,,Brazil,WHOS,Rio Parana
1365,0-76-4-66810000,SAO FRANCISCO,SAOFRANCISCO,SAO FRANCISCO,-18.3939,-57.3911,,,Brazil,WHOS,Rio Paraguay
1366,0-76-4-65855110,PCH CAVERNOSO II JUSANTE,PCHCAVERNOSO,PCH CAVERNOSO II JUSANTE,-25.5089,-52.2292,,,Brazil,WHOS,Rio Parana
1367,0-76-4-63001230,PCH ALTO SUCURIU JUSANTE,PCHALTOSUCUR,PCH ALTO SUCURIU JUSANTE,-19.245,-52.8794,,,Brazil,WHOS,Rio Parana
1368,0-76-0-3135050000000270,MOCAMBINHO,MOCAMBINHO,MOCAMBINHO,-15.085958,-44.016036,,,Brazil,INMET,
1369,0-76-0-3170404000W83428,UNAI,UNAI,UNAI,-16.36638888,-46.88944444,,,Brazil,INMET,
1370,0-76-4-2951146,CGH BOA VISTA BARRAMENTO,CGHBOAVISTAB,CGH BOA VISTA BARRAMENTO,-29.4728,-51.8681,,,Brazil,WHOS,
1371,1062,Miriñay Medio,MiriñayMedio,Miriñay Medio,-29.357037,-57.705043,,,Argentina,INA,Rio Uruguay
1372,0-76-0-3548906000W83726,SAO CARLOS,SAOCARLOS,SAO CARLOS,-21.98027777,-47.88388888,,,Brazil,INMET,Rio Parana
1373,19027,SÃO SIMÃO,SÃOSIMÃO,SÃO SIMÃO,-19.0166667,-50.5,,,Brazil,SAR - Agência Nacional de Águas (ANA),Rio Parana
1374,0-76-4-63270000,UHE SAO DOMINGOS JUSANTE,UHESAODOMING,UHE SAO DOMINGOS JUSANTE,-20.0775,-53.1769,,,Brazil,WHOS,Rio Parana
1375,0-76-4-66380100,RIO SAO LOURENCO - SAO PEDRO DA CIPA,RIOSAOLOUREN,RIO SAO LOURENCO - SAO PEDRO DA CIPA,-15.9981,-54.9217,,,Brazil,WHOS,Rio Paraguay
1376,0-76-4-60927000,UHE ILHA SOLTEIRA PONTE SAO DOMINGOS,UHEILHASOLTE,UHE ILHA SOLTEIRA PONTE SAO DOMINGOS,-19.22,-50.6764,,,Brazil,WHOS,Rio Parana
1377,0-76-4-2549113,ENTREMAR,ENTREMAR,ENTREMAR,-25.4892,-49.0408,,,Brazil,WHOS,Rio Parana
1378,0-76-0-3170404000000212,UNAI,UNAI,UNAI,-16.55416666,-46.88194443,,,Brazil,INMET,
1379,0-76-4-71498000,PASSO MAROMBAS,PASSOMAROMBA,PASSO MAROMBAS,-27.3339,-50.7539,,,Brazil,WHOS,Rio Uruguay
1380,0-76-4-61872600,PCH PINHAL JUSANTE,PCHPINHALJUS,PCH PINHAL JUSANTE,-22.2797,-46.7594,,,Brazil,WHOS,Rio Parana
1381,0-76-0-5201702000W83368,ARAGARCAS,ARAGARCAS,ARAGARCAS,-15.9025,-52.24527777,,,Brazil,INMET,
1382,0-76-4-64115000,CGH SANTA MARIA JUSANTE,CGHSANTAMARI,CGH SANTA MARIA JUSANTE,-24.0178,-48.7242,,,Brazil,WHOS,Rio Parana
1383,0-76-4-60500200,PCH TAMBORIL JUSANTE,PCHTAMBORILJ,PCH TAMBORIL JUSANTE,-16.7875,-47.8856,,,Brazil,WHOS,Rio Parana
1384,0-76-4-60890000,UHE CACU NAVISLANDIA,UHECACUNAVIS,UHE CACU NAVISLANDIA,-18.0856,-51.6175,,,Brazil,WHOS,Rio Parana
