STATION_ID,EXTERNAL_LOCATION_ID,EXTERNAL_PARAMETER_ID,TIMESTEP_HOUR,UNIT,IMPORT_SOURCE
D499B681A918E3F8DDAE578EF4100301FFC682C6,D499B681A918E3F8DDAE578EF4100301FFC682C6,5C34E7D199E2643B1AA949D920942C576A406AB4,,cubic metres per second,WHOS
576420AC1CCC36C9255698CFE3BC53B3805FB91F,576420AC1CCC36C9255698CFE3BC53B3805FB91F,472D1E733D426DC0A514D0BD6A2AAA7541CCEC3A,,cubic metres per second,WHOS
9D19A3E8F359C608E3590801702190ECB95DD22A,9D19A3E8F359C608E3590801702190ECB95DD22A,5C34E7D199E2643B1AA949D920942C576A406AB4,,cubic metres per second,WHOS
BE1A02118FE99842BA0619D9E65CA1D600D32477,BE1A02118FE99842BA0619D9E65CA1D600D32477,B9240615C51DA438E9E02C9858887F1EE726EE2E,744.0,cubic metres per second,WHOS
51D52DB8DDEDC56EE2C51813C409A0CB5C15A940,51D52DB8DDEDC56EE2C51813C409A0CB5C15A940,5C34E7D199E2643B1AA949D920942C576A406AB4,,cubic metres per second,WHOS
C9B56E0C83BB07BA7BE6A4D3253CBFD345453FC6,C9B56E0C83BB07BA7BE6A4D3253CBFD345453FC6,5C34E7D199E2643B1AA949D920942C576A406AB4,,cubic metres per second,WHOS
38613F7159BC54ACBC186B6ABCE451129572D315,38613F7159BC54ACBC186B6ABCE451129572D315,5C34E7D199E2643B1AA949D920942C576A406AB4,,cubic metres per second,WHOS
60513B11A7A3BF1067DA24508A18A9BB54CF985B,60513B11A7A3BF1067DA24508A18A9BB54CF985B,5C34E7D199E2643B1AA949D920942C576A406AB4,,cubic metres per second,WHOS
990CFC9220C68BFEC230C4FBB827B3A361E842BB,990CFC9220C68BFEC230C4FBB827B3A361E842BB,5C34E7D199E2643B1AA949D920942C576A406AB4,,cubic metres per second,WHOS
F431A2838DD3BE60AF9B53454C4FFB273BAA0220,F431A2838DD3BE60AF9B53454C4FFB273BAA0220,5C34E7D199E2643B1AA949D920942C576A406AB4,,cubic metres per second,WHOS
42E0DBB7F1C47CEEC56CC91F3BF9108DAF4CF337,42E0DBB7F1C47CEEC56CC91F3BF9108DAF4CF337,5C34E7D199E2643B1AA949D920942C576A406AB4,,cubic metres per second,WHOS
94BF5172735BD48140FA057F615CA5ABB466EFE3,94BF5172735BD48140FA057F615CA5ABB466EFE3,472D1E733D426DC0A514D0BD6A2AAA7541CCEC3A,,cubic metres per second,WHOS
77994B4753249478AAE000CCCA72B6568F3F46AA,77994B4753249478AAE000CCCA72B6568F3F46AA,5C34E7D199E2643B1AA949D920942C576A406AB4,,cubic metres per second,WHOS
81D9F13B11E11CA53BBA0E315576D5840B3CC230,81D9F13B11E11CA53BBA0E315576D5840B3CC230,472D1E733D426DC0A514D0BD6A2AAA7541CCEC3A,,cubic metres per second,WHOS
C2C298DAC1EBB179763E064D213E671B4B199F42,C2C298DAC1EBB179763E064D213E671B4B199F42,CD59B39DBBD02109859570B58EAA33621CD1F85B,744.0,cubic metres per second,WHOS
27B093EACC1DAC337E41B6901BFE45E683FD99A8,27B093EACC1DAC337E41B6901BFE45E683FD99A8,5C34E7D199E2643B1AA949D920942C576A406AB4,,cubic metres per second,WHOS
BD288158662B06EF3ABCB08D79FCC896F148238E,BD288158662B06EF3ABCB08D79FCC896F148238E,5C34E7D199E2643B1AA949D920942C576A406AB4,,cubic metres per second,WHOS
B4626C673FDC8DF01116BDD51544A8CE478F52B2,B4626C673FDC8DF01116BDD51544A8CE478F52B2,5C34E7D199E2643B1AA949D920942C576A406AB4,,cubic metres per second,WHOS
CA9EE7116FA897C57A0D05826E8526B7302B8A57,CA9EE7116FA897C57A0D05826E8526B7302B8A57,5C34E7D199E2643B1AA949D920942C576A406AB4,,cubic metres per second,WHOS
D4778F8DB9412B2FE3C0DE615434767B1736EDBA,D4778F8DB9412B2FE3C0DE615434767B1736EDBA,472D1E733D426DC0A514D0BD6A2AAA7541CCEC3A,,cubic metres per second,WHOS
2C7B98A3EAD5681B6F5B0A583ABB8055E4CCD29A,2C7B98A3EAD5681B6F5B0A583ABB8055E4CCD29A,5C34E7D199E2643B1AA949D920942C576A406AB4,,cubic metres per second,WHOS
D7A0410A7C94FB3AA1DA6CE02FA566801F9CD0A7,D7A0410A7C94FB3AA1DA6CE02FA566801F9CD0A7,5C34E7D199E2643B1AA949D920942C576A406AB4,,cubic metres per second,WHOS
40816E5B5BF7859F06DFC925E5DD6BC0CC628DF4,40816E5B5BF7859F06DFC925E5DD6BC0CC628DF4,5C34E7D199E2643B1AA949D920942C576A406AB4,,cubic metres per second,WHOS
BE7D59743836150F6D4F084AF4FDDB5DD88CFDB3,BE7D59743836150F6D4F084AF4FDDB5DD88CFDB3,5C34E7D199E2643B1AA949D920942C576A406AB4,,cubic metres per second,WHOS
86A783BB73FD134A8C4763C204C2A659C48A5524,86A783BB73FD134A8C4763C204C2A659C48A5524,5C34E7D199E2643B1AA949D920942C576A406AB4,,cubic metres per second,WHOS
27FB6862382EE0E0D34DE86998632A54EA92E33D,27FB6862382EE0E0D34DE86998632A54EA92E33D,5C34E7D199E2643B1AA949D920942C576A406AB4,,cubic metres per second,WHOS
821CDC7E4B17C021E2A1115FEE46B0FA0305AB5F,821CDC7E4B17C021E2A1115FEE46B0FA0305AB5F,472D1E733D426DC0A514D0BD6A2AAA7541CCEC3A,,cubic metres per second,WHOS
44780CB21DAE6292D18DD64371E54E045D728D40,44780CB21DAE6292D18DD64371E54E045D728D40,5C34E7D199E2643B1AA949D920942C576A406AB4,,cubic metres per second,WHOS
B76F89BC3A30F644310F1CC4C611C7EA6047DA7A,B76F89BC3A30F644310F1CC4C611C7EA6047DA7A,CEE1F03F85E1231A57C7E756527ED41B9C43820B,24.0,cubic metres per second,WHOS
870F443EB947EB840E5638F29FF67A0B637D02B0,870F443EB947EB840E5638F29FF67A0B637D02B0,5C34E7D199E2643B1AA949D920942C576A406AB4,,cubic metres per second,WHOS
4ABC632413EF44233CFBDF7E66C283F9EF889090,4ABC632413EF44233CFBDF7E66C283F9EF889090,5C34E7D199E2643B1AA949D920942C576A406AB4,,cubic metres per second,WHOS
0E3BAFD601AC9D1A7D2B7609344799BE98D08D04,0E3BAFD601AC9D1A7D2B7609344799BE98D08D04,5C34E7D199E2643B1AA949D920942C576A406AB4,,cubic metres per second,WHOS
28D0D1A970A515AC2BF188933A625E4AD039BED9,28D0D1A970A515AC2BF188933A625E4AD039BED9,5C34E7D199E2643B1AA949D920942C576A406AB4,,cubic metres per second,WHOS
23137FB463C0902450418E9E2F0D38C719419AA9,23137FB463C0902450418E9E2F0D38C719419AA9,B9240615C51DA438E9E02C9858887F1EE726EE2E,744.0,cubic metres per second,WHOS
7ACB51A9664AAC320475CC234E995BF0A2D0A09D,7ACB51A9664AAC320475CC234E995BF0A2D0A09D,5C34E7D199E2643B1AA949D920942C576A406AB4,,cubic metres per second,WHOS
DFD96AC4A30EE51D31BF09A6F7EECC9C269556E1,DFD96AC4A30EE51D31BF09A6F7EECC9C269556E1,B9240615C51DA438E9E02C9858887F1EE726EE2E,744.0,cubic metres per second,WHOS
D144E7C427EDC3B96B90FB792EA5AB808BD7DA83,D144E7C427EDC3B96B90FB792EA5AB808BD7DA83,CEE1F03F85E1231A57C7E756527ED41B9C43820B,24.0,cubic metres per second,WHOS
32A184F3871CB2A0EAF626D322C9C8021345FF56,32A184F3871CB2A0EAF626D322C9C8021345FF56,5C34E7D199E2643B1AA949D920942C576A406AB4,,cubic metres per second,WHOS
07FACF02B1693ADAB63521664C5D2A032761B06D,07FACF02B1693ADAB63521664C5D2A032761B06D,5C34E7D199E2643B1AA949D920942C576A406AB4,,cubic metres per second,WHOS
C2E15B8094C9C171D3DB15A122B1FAE8DDD08DB2,C2E15B8094C9C171D3DB15A122B1FAE8DDD08DB2,5C34E7D199E2643B1AA949D920942C576A406AB4,,cubic metres per second,WHOS
380AF4EB6F06C7627EF644106B0A2DF38CBF66CF,380AF4EB6F06C7627EF644106B0A2DF38CBF66CF,5C34E7D199E2643B1AA949D920942C576A406AB4,,cubic metres per second,WHOS
