STATION_ID,EXTERNAL_LOCATION_ID,EXTERNAL_PARAMETER_ID,TIMESTEP_HOUR,UNIT,IMPORT_SOURCE,THRESHOLD_LOW_WATERS,THRESHOLD_FLOOD_ALERT,THRESHOLD_EVACUATION,THRESHOLD_ene_mean,THRESHOLD_ene_p01,THRESHOLD_ene_p10,THRESHOLD_ene_p50,THRESHOLD_ene_p90,THRESHOLD_ene_p99,THRESHOLD_feb_mean,THRESHOLD_feb_p01,THRESHOLD_feb_p10,THRESHOLD_feb_p50,THRESHOLD_feb_p90,THRESHOLD_feb_p99,THRESHOLD_mar_mean,THRESHOLD_mar_p01,THRESHOLD_mar_p10,THRESHOLD_mar_p50,THRESHOLD_mar_p90,THRESHOLD_mar_p99,THRESHOLD_apr_mean,THRESHOLD_apr_p01,THRESHOLD_apr_p10,THRESHOLD_apr_p50,THRESHOLD_apr_p90,THRESHOLD_apr_p99,THRESHOLD_may_mean,THRESHOLD_may_p01,THRESHOLD_may_p10,THRESHOLD_may_p50,THRESHOLD_may_p90,THRESHOLD_may_p99,THRESHOLD_jun_mean,THRESHOLD_jun_p01,THRESHOLD_jun_p10,THRESHOLD_jun_p50,THRESHOLD_jun_p90,THRESHOLD_jun_p99,THRESHOLD_jul_mean,THRESHOLD_jul_p01,THRESHOLD_jul_p10,THRESHOLD_jul_p50,THRESHOLD_jul_p90,THRESHOLD_jul_p99,THRESHOLD_aug_mean,THRESHOLD_aug_p01,THRESHOLD_aug_p10,THRESHOLD_aug_p50,THRESHOLD_aug_p90,THRESHOLD_aug_p99,THRESHOLD_sep_mean,THRESHOLD_sep_p01,THRESHOLD_sep_p10,THRESHOLD_sep_p50,THRESHOLD_sep_p90,THRESHOLD_sep_p99,THRESHOLD_oct_mean,THRESHOLD_oct_p01,THRESHOLD_oct_p10,THRESHOLD_oct_p50,THRESHOLD_oct_p90,THRESHOLD_oct_p99,THRESHOLD_nov_mean,THRESHOLD_nov_p01,THRESHOLD_nov_p10,THRESHOLD_nov_p50,THRESHOLD_nov_p90,THRESHOLD_nov_p99,THRESHOLD_dec_mean,THRESHOLD_dec_p01,THRESHOLD_dec_p10,THRESHOLD_dec_p50,THRESHOLD_dec_p90,THRESHOLD_dec_p99
40,40,39,24.0,m,INA,0.3,2.0,2.2,0.936,0.022,0.35,0.9,1.698,2.004,1.023,0.041,0.45,0.95,1.7,2.3,1.006,0.05,0.4,0.95,1.7,2.05,1.01,0.1,0.4,0.95,1.7,2.53,0.957,0.05,0.35,0.85,1.65,2.783,0.825,0.05,0.3,0.75,1.4,2.457,0.75,0.048,0.25,0.7,1.3,1.75,0.712,-0.1,0.2,0.7,1.25,1.75,0.768,0.05,0.2,0.75,1.3,2.024,0.773,0.05,0.25,0.7,1.35,1.967,0.886,0.05,0.3,0.85,1.5,2.008,0.897,0.05,0.348,0.85,1.45,1.9
41,41,39,24.0,m,INA,,2.2,2.45,0.852,-0.028,0.3,0.8,1.5,1.984,0.908,0.032,0.3,0.85,1.57,2.187,0.913,-0.02,0.35,0.85,1.55,2.019,0.899,0.0,0.3,0.9,1.6,2.1,0.869,0.1,0.3,0.8,1.486,2.55,0.755,0.054,0.2,0.7,1.3,2.346,0.687,0.1,0.2,0.6,1.25,1.8,0.662,-0.208,0.2,0.63,1.15,1.858,0.695,0.049,0.2,0.65,1.2,2.0,0.732,0.0,0.2,0.7,1.315,2.0,0.816,0.1,0.295,0.8,1.4,2.0,0.837,0.05,0.3,0.8,1.4,2.0
42,42,39,24.0,m,INA,0.1,3.0,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,43,39,24.0,m,INA,1.1,2.3,2.6,1.475,0.578,0.88,1.38,2.322,2.894,1.56,0.603,0.941,1.405,2.447,3.2,1.549,0.68,0.95,1.45,2.389,3.049,1.607,0.604,0.98,1.5,2.4,3.76,1.658,0.532,0.98,1.55,2.31,4.01,1.554,0.57,0.9,1.48,2.236,3.672,1.442,0.56,0.9,1.38,2.08,2.962,1.348,0.591,0.84,1.28,1.976,2.384,1.387,0.6,0.85,1.35,1.998,2.384,1.465,0.583,0.9,1.4,2.1,2.4,1.538,0.68,1.0,1.5,2.16,2.556,1.47,0.63,0.9,1.4,2.19,2.63
44,44,39,24.0,m,INA,1.0,2.85,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,45,39,24.0,m,INA,0.4,2.0,2.3,0.772,-0.573,0.05,0.65,1.7,2.545,0.924,-0.4,0.15,0.8,2.208,2.82,0.961,-0.3,0.1,0.9,2.15,2.652,1.027,-0.2,0.15,0.95,2.049,3.3,1.07,-0.3,0.2,1.0,1.7,3.9,0.914,-0.3,0.1,0.85,1.65,3.362,0.796,-0.411,0.1,0.7,1.6,2.384,0.666,-0.6,0.0,0.65,1.4,1.7,0.584,-0.35,0.0,0.5,1.3,1.715,0.633,-0.35,0.0,0.6,1.3,1.8,0.795,-0.267,0.2,0.8,1.4,2.283,0.756,-0.318,0.1,0.7,1.55,1.95
46,46,39,24.0,m,INA,0.8,4.5,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,47,39,24.0,m,INA,0.2,2.5,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,48,39,24.0,m,INA,0.3,2.2,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,49,39,24.0,m,INA,0.2,3.3,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,50,39,24.0,m,INA,0.2,2.3,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,51,39,24.0,m,INA,1.0,3.2,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,52,39,24.0,m,INA,0.21,3.0,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,53,39,24.0,m,INA,0.3,3.0,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,54,39,24.0,m,INA,0.1,3.0,3.8,1.177,0.2,0.5,1.2,1.9,2.583,1.158,0.2,0.5,1.1,1.8,2.682,1.108,0.1,0.5,1.1,1.7,2.543,1.035,0.1,0.4,1.0,1.695,2.449,0.927,0.1,0.3,0.9,1.5,2.4,0.837,0.1,0.3,0.8,1.4,2.0,0.827,0.1,0.22,0.8,1.4,2.128,0.852,0.1,0.3,0.8,1.42,2.3,0.999,0.1,0.3,1.0,1.7,2.593,1.021,0.1,0.3,1.0,1.7,2.465,1.072,0.1,0.4,1.0,1.8,2.7,1.123,0.1,0.4,1.1,1.8,2.615
55,55,39,24.0,m,INA,2.4,5.35,6.0,2.964,0.247,1.18,2.74,5.116,8.166,3.135,0.683,1.311,2.83,5.639,6.68,3.357,0.76,1.594,3.28,5.77,6.95,3.686,1.41,1.811,3.48,5.97,7.34,4.193,1.33,1.936,4.32,5.826,7.758,4.387,1.22,2.732,4.38,6.1,7.745,4.29,0.938,2.6,4.36,5.87,7.8,3.788,0.39,1.984,3.69,5.73,7.197,3.311,0.167,1.488,3.3,5.382,6.0,2.957,0.034,1.364,2.59,5.13,5.722,2.931,0.272,1.17,2.72,5.116,6.538,3.173,0.2,1.251,2.72,6.126,7.995
56,56,39,24.0,m,INA,0.0,6.0,6.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,57,39,24.0,m,INA,3.2,7.8,8.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,58,39,24.0,m,INA,,6.5,7.0,4.06,0.068,1.93,3.95,6.45,7.48,4.498,0.485,1.936,4.915,6.817,7.622,4.399,0.959,1.508,4.46,7.196,7.44,4.711,1.665,2.95,4.44,7.09,8.466,5.003,1.377,3.242,5.01,7.154,8.956,4.999,2.073,2.532,4.82,7.16,7.89,4.677,2.02,2.738,5.11,6.192,7.512,3.983,1.801,2.1,3.59,6.22,7.247,3.536,1.84,2.009,3.105,5.872,6.694,3.84,0.9,2.2,3.19,6.162,6.972,4.298,1.04,2.002,4.285,6.5,6.823,4.268,0.07,1.986,4.15,6.9,7.591
59,59,39,24.0,m,INA,2.5995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,60,39,24.0,m,INA,,,,2.724,0.0,0.6,2.4,5.234,7.962,2.764,-0.006,0.4,2.4,6.812,8.848,2.308,-0.071,0.43,2.05,4.1,8.682,2.894,0.0,0.3,2.2,7.427,9.997,3.003,0.005,0.15,2.22,7.948,13.556,3.383,0.004,0.63,2.5,7.77,16.794,3.436,0.0,0.75,2.8,7.42,14.476,3.205,0.0,0.155,2.7,7.53,10.214,3.132,0.0,0.44,2.8,7.29,11.724,3.719,0.0,0.585,3.4,6.8,14.271,3.495,0.064,1.266,3.16,5.684,11.441,2.798,0.0,0.6,2.4,5.011,12.252
61,61,39,24.0,m,INA,,,,1.902,0.32,0.75,1.57,3.407,5.2,1.907,0.374,0.68,1.42,3.55,7.952,1.595,0.282,0.52,1.3,2.834,6.066,1.625,0.233,0.494,1.3,3.136,6.38,1.802,0.2,0.41,1.12,3.824,9.113,2.333,0.38,0.758,1.72,4.2,13.226,2.462,0.7,1.05,2.12,4.1,9.024,2.183,0.5,0.95,1.75,3.688,8.957,2.465,0.514,0.791,2.07,4.692,9.308,3.496,0.6,1.2,3.075,5.903,11.531,1488100000.0,0.236,1.054,2.3,3.977,8.669,2919710000.0,0.42,0.75,1.48,3.532,7.734
62,62,39,24.0,m,INA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,63,39,24.0,m,INA,,,,4016060000.0,0.0,1.0,2.3,3.8,6.0,1.997,0.0,0.0,1.85,3.8,6.0,2.275,0.0,0.0,2.3,4.0,6.709,2.407,0.0,0.0,1.8,4.82,8.94,2.207,0.0,0.0,1.7,4.87,8.885,2.811,0.0,0.0,2.4,5.09,16.114,2.862,0.0,0.0,2.3,6.0,11.908,2.709,0.0,0.0,2.6,5.61,8.552,2.685,0.0,0.0,2.0,5.5,9.764,3.325,0.0,0.0,3.4,6.51,10.4,2.639,0.0,0.0,2.5,4.47,8.957,2.404,0.0,0.0,2.1,4.85,8.45
65,65,39,24.0,m,INA,1.3,8.0,10.0,2.051,0.693,0.93,1.835,3.56,4.973,2.029,0.7,0.9,1.64,3.64,7.319,1.796,0.68,0.8,1.52,2.956,5.671,1.909,0.635,0.78,1.64,3.548,6.295,2.06,0.579,0.75,1.54,3.978,8.224,2.436,0.637,1.0,2.0,4.3,10.538,2.65,0.82,1.413,2.255,4.354,8.007,2.296,0.973,1.18,1.94,3.824,7.485,2.482,0.837,1.046,2.13,4.344,7.684,3.571,0.845,1.44,3.38,5.756,9.822,2.691,0.79,1.23,2.425,4.3,7.75,2.128,0.76,0.991,1.755,4.018,6.643
66,66,39,24.0,m,INA,0.904,15.5,16.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,67,39,24.0,m,INA,0.03,12.0,14.0,2.109,-0.141,0.19,1.64,4.74,7.811,2.076,-0.24,0.241,1.38,4.58,11.132,1.716,-0.339,0.021,1.3,3.809,8.659,2.098,-0.239,0.09,1.42,5.3,10.501,2.426,-0.384,0.08,1.39,6.2,11.946,2.877,-0.035,0.53,2.06,6.093,16.301,3.318,0.468,0.986,2.43,6.83,13.913,2.671,0.208,0.7,2.09,5.433,10.9,2.852,-0.05,0.43,2.24,6.459,10.963,4.699,0.103,1.3,4.1,8.948,15.365,3.421,0.187,0.819,2.71,6.796,13.282,2.458,-0.191,0.43,1.67,5.978,11.259
68,68,39,24.0,m,INA,1.3,11.5,12.5,3.651,1.0,1.4,3.14,6.594,9.367,3.683,1.0,1.41,3.03,6.51,11.881,3.318,1.0,1.378,2.91,5.74,9.851,3.674,0.98,1.2,3.195,7.168,10.594,3.752,0.8,1.2,3.07,7.594,11.57,4.316,0.952,1.872,3.66,7.73,14.478,5.005,1.771,2.735,4.32,8.675,13.195,4.374,1.876,2.44,3.9,7.07,11.525,4.422,1.441,1.99,3.79,8.226,11.17,6.25,1.657,2.7,5.8,9.93,14.397,1650160000.0,0.462,2.09,4.02,8.205,13.095,1655630000.0,1.022,1.593,3.11,7.254,11.725
69,69,39,24.0,m,INA,0.89,9.5,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,70,39,24.0,m,INA,0.26,9.5,11.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,71,39,24.0,m,INA,0.0,9.5,10.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,72,39,24.0,m,INA,1.4,7.5,8.5,3.072,0.46,0.79,2.27,6.623,9.328,2.703,0.465,0.9,2.05,5.347,9.757,2.654,0.54,0.88,2.21,5.06,7.743,3.011,0.552,0.802,2.79,5.81,9.561,3.415,0.48,1.0,2.86,6.724,9.791,3.785,0.79,1.335,3.3,6.435,11.842,4.005,1.21,2.304,3.64,6.238,10.405,3.371,1.45,1.8,3.12,5.455,7.994,3.614,1.2,1.83,3.08,6.476,8.495,5.199,1.246,2.139,5.27,8.247,11.441,4.489,0.58,1.752,4.09,7.67,10.506,3.138,0.53,1.06,2.47,6.823,10.369
73,73,39,24.0,m,INA,0.0,7.9,10.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,74,39,24.0,m,INA,0.8,7.5,8.5,2.715,0.2,1.05,2.0,6.03,8.374,1.888,0.0,0.46,1.69,3.49,4.468,2.161,0.52,0.725,1.955,3.965,5.041,2.558,0.0,1.2,2.27,4.548,5.991,2.83,0.44,0.96,2.49,5.474,6.596,2.758,0.0,1.0,2.3,4.7,9.694,3.21,0.8,1.64,2.92,5.1,8.962,2.634,0.0,1.15,2.63,4.252,5.488,2.864,0.865,1.54,2.71,4.537,5.841,3.596,0.0,1.674,3.455,5.74,7.85,3.883,0.0,2.0,3.895,5.714,8.127,2.858,0.459,1.19,2.37,4.986,9.561
75,75,39,24.0,m,INA,5.24,10.3,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,76,39,24.0,m,INA,31.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,77,39,24.0,m,INA,33.0,35.5,36.0,34.214,31.559,32.95,34.34,35.4,36.401,33.997,30.94,32.36,34.28,35.23,35.52,34.008,31.285,32.3,34.38,35.32,35.52,34.11,30.878,32.53,34.41,35.32,35.533,34.043,30.4,32.613,34.335,35.277,35.501,34.24,30.802,32.98,34.52,35.352,35.708,34.17,23.503,33.044,34.75,35.36,35.524,34.048,23.443,32.646,34.42,35.324,35.5,33.813,23.265,32.86,34.4,35.234,35.487,34.107,30.8,32.98,34.58,35.38,35.81,34.229,0.033,33.32,35.02,35.4,35.969,33.817,0.0,33.37,34.61,35.3,36.676
78,78,39,24.0,m,INA,5.6,17.3,17.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,79,39,24.0,m,INA,1.7,11.0,12.5,3.774,0.379,0.8,2.5,8.8,14.282,3.43,0.362,0.9,2.52,6.738,12.789,3.315,0.15,0.8,2.6,6.6,10.777,3.956,0.222,0.88,3.4,8.2,13.6,4.395,0.236,0.76,3.7,9.0,12.1,4.54,0.3,1.184,3.9,8.236,14.36,4.703,0.658,2.0,4.28,7.446,12.893,4.195,1.036,1.804,3.81,6.996,9.512,4.374,0.916,1.684,4.0,7.148,10.924,6.158,1.266,2.4,6.26,10.6,13.308,5.473,0.518,1.7,5.3,9.564,12.088,3.885,0.507,1.1,2.78,8.56,15.3
80,80,39,24.0,m,INA,1.4,7.1,7.9,2.489,0.42,0.8,1.7,5.625,9.559,2.28,0.588,0.94,1.84,3.992,8.184,2.189,0.55,0.86,1.93,3.78,6.56,2.575,0.5,0.95,2.17,4.7,8.738,2.854,0.4,0.883,2.395,5.581,8.037,2.828,0.5,1.03,2.38,5.02,9.296,2.847,0.68,1.442,2.57,4.4,8.498,2.534,0.76,1.182,2.3,4.116,5.96,2.647,0.718,1.22,2.42,4.178,6.804,3.676,0.873,1.48,3.45,6.636,8.962,3.428,0.74,1.3,3.05,6.19,9.114,2.594,0.603,1.02,1.88,5.42,10.155
81,81,39,24.0,m,INA,0.9,5.3,6.3,2.118,0.518,0.79,1.54,4.48,7.712,1.975,0.6,0.89,1.71,3.13,6.529,1.899,0.52,0.82,1.72,3.13,5.2,2.17,0.353,0.92,1.87,3.83,7.018,2.39,0.372,0.86,2.06,4.49,6.504,2.361,0.513,0.962,2.0,4.044,7.497,2.327,0.67,1.209,2.14,3.503,6.88,2.115,0.65,1.042,1.97,3.3,4.712,2.205,0.64,1.1,2.04,3.448,5.352,2.969,0.74,1.286,2.78,5.308,7.12,2.81,0.628,1.15,2.55,4.92,7.264,2.184,0.58,0.96,1.66,4.315,8.162
82,82,39,24.0,m,INA,0.0,5.3,6.3,1.965,0.557,0.82,1.555,3.925,6.37,1.812,0.48,0.9,1.58,2.98,5.575,1.747,0.6,0.88,1.6,2.764,4.3,1.943,0.574,0.92,1.83,3.182,5.927,2.138,0.378,0.85,1.9,3.84,5.799,2.065,0.0,0.78,1.8,3.65,6.279,1.964,0.183,1.0,1.82,2.96,5.795,1.854,0.0,0.96,1.76,2.92,3.954,1.984,0.026,1.0,1.9,3.16,4.387,2.571,0.0,1.18,2.475,4.492,5.835,2.451,0.693,1.3,2.32,3.876,5.173,2.074,0.631,1.0,1.66,3.902,6.852
84,84,39,24.0,m,INA,,2.9,3.1,1.557,0.512,0.78,1.36,2.64,3.98,1.553,0.6,0.844,1.44,2.328,3.62,1.511,0.56,0.846,1.48,2.2,3.105,1.614,0.492,0.9,1.5,2.378,3.995,1.686,0.396,0.82,1.58,2.64,3.812,1.619,0.553,0.88,1.5,2.576,3.662,1.549,0.6,0.94,1.46,2.24,3.473,1.457,0.52,0.84,1.38,2.16,2.744,1.551,0.576,0.9,1.48,2.32,2.864,1.777,0.626,0.98,1.7,2.788,3.6,1.79,0.548,1.02,1.74,2.6,3.557,1.587,0.635,0.88,1.4,2.62,3.994
85,85,39,24.0,m,INA,0.5,3.3,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,86,39,24.0,m,INA,0.3,2.5,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,99,39,24.0,m,INA,0.72,3.5,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,103,39,24.0,m,INA,,4.7,,2.051,-0.42,0.04,1.4,4.976,6.0,2.604,-0.138,0.338,2.31,5.292,6.821,2.895,-0.075,0.58,2.8,5.425,6.548,3.063,-0.293,0.788,3.23,5.48,6.68,2.821,-0.42,0.48,2.71,5.491,6.888,2.128,-0.4,0.224,1.78,4.68,5.421,1.914,-0.392,0.198,1.34,4.181,5.262,1.568,-0.064,0.27,1.195,3.749,4.968,1.172,-0.214,0.038,0.99,2.73,4.247,1.375,-0.163,0.111,0.915,3.5,4.802,1.73,-0.05,0.4,1.49,3.5,4.93,1.808,-0.3,0.152,1.505,3.9,4.892
105,105,39,24.0,m,INA,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,175,39,24.0,m,INA,,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1016,1016,39,24.0,m,INA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1017,1017,39,24.0,m,INA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1019,1019,39,24.0,m,INA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1022,1022,39,24.0,m,INA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1035,1035,39,24.0,m,INA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1036,1036,39,24.0,m,INA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1038,1038,39,24.0,m,INA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1039,1039,39,24.0,m,INA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1074,1074,39,24.0,m,INA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1077,1077,39,24.0,m,INA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1094,1094,39,24.0,m,INA,,3.5,,1.286,0.804,1.01,1.24,1.57,2.337,1.141,0.85,0.91,1.06,1.396,3.125,1.091,0.783,0.87,1.04,1.352,1.943,1.146,0.8,0.86,1.08,1.496,2.09,1.291,0.83,0.95,1.22,1.7,2.714,1.413,0.81,0.97,1.36,1.81,2.77,1.437,0.82,1.07,1.36,1.9,2.682,1.527,1.08,1.18,1.47,1.87,2.792,1.472,1.13,1.22,1.42,1.68,2.221,1.527,1.09,1.29,1.49,1.73,3.071,1.549,1.069,1.297,1.55,1.8,2.169,1.411,1.06,1.18,1.4,1.633,1.82
1257,1257,39,24.0,m,INA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1679,1679,39,24.0,m,INA,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1698,1698,39,24.0,m,INA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1701,1701,39,24.0,m,INA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1706,1706,39,24.0,m,INA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1708,1708,39,24.0,m,INA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1739,1739,39,24.0,m,INA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1743,1743,39,24.0,m,INA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1744,1744,39,24.0,m,INA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1877,1877,39,24.0,m,INA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2111,2111,39,24.0,m,INA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2112,2112,39,24.0,m,INA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2113,2113,39,24.0,m,INA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2115,2115,39,24.0,m,INA,3.0,6.5,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2116,2116,39,24.0,m,INA,3.41,8.01,8.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2117,2117,39,24.0,m,INA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2119,2119,39,24.0,m,INA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2120,2120,39,24.0,m,INA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2121,2121,39,24.0,m,INA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2122,2122,39,24.0,m,INA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2123,2123,39,24.0,m,INA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2125,2125,39,24.0,m,INA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
