STATION_ID,EXTERNAL_LOCATION_ID,EXTERNAL_PARAMETER_ID,TIMESTEP_HOUR,UNIT,IMPORT_SOURCE,THRESHOLD_LOW_WATERS,THRESHOLD_FLOOD_ALERT,THRESHOLD_EVACUATION,THRESHOLD_ene_mean,THRESHOLD_ene_p01,THRESHOLD_ene_p10,THRESHOLD_ene_p50,THRESHOLD_ene_p90,THRESHOLD_ene_p99,THRESHOLD_feb_mean,THRESHOLD_feb_p01,THRESHOLD_feb_p10,THRESHOLD_feb_p50,THRESHOLD_feb_p90,THRESHOLD_feb_p99,THRESHOLD_mar_mean,THRESHOLD_mar_p01,THRESHOLD_mar_p10,THRESHOLD_mar_p50,THRESHOLD_mar_p90,THRESHOLD_mar_p99,THRESHOLD_apr_mean,THRESHOLD_apr_p01,THRESHOLD_apr_p10,THRESHOLD_apr_p50,THRESHOLD_apr_p90,THRESHOLD_apr_p99,THRESHOLD_may_mean,THRESHOLD_may_p01,THRESHOLD_may_p10,THRESHOLD_may_p50,THRESHOLD_may_p90,THRESHOLD_may_p99,THRESHOLD_jun_mean,THRESHOLD_jun_p01,THRESHOLD_jun_p10,THRESHOLD_jun_p50,THRESHOLD_jun_p90,THRESHOLD_jun_p99,THRESHOLD_jul_mean,THRESHOLD_jul_p01,THRESHOLD_jul_p10,THRESHOLD_jul_p50,THRESHOLD_jul_p90,THRESHOLD_jul_p99,THRESHOLD_aug_mean,THRESHOLD_aug_p01,THRESHOLD_aug_p10,THRESHOLD_aug_p50,THRESHOLD_aug_p90,THRESHOLD_aug_p99,THRESHOLD_sep_mean,THRESHOLD_sep_p01,THRESHOLD_sep_p10,THRESHOLD_sep_p50,THRESHOLD_sep_p90,THRESHOLD_sep_p99,THRESHOLD_oct_mean,THRESHOLD_oct_p01,THRESHOLD_oct_p10,THRESHOLD_oct_p50,THRESHOLD_oct_p90,THRESHOLD_oct_p99,THRESHOLD_nov_mean,THRESHOLD_nov_p01,THRESHOLD_nov_p10,THRESHOLD_nov_p50,THRESHOLD_nov_p90,THRESHOLD_nov_p99,THRESHOLD_dec_mean,THRESHOLD_dec_p01,THRESHOLD_dec_p10,THRESHOLD_dec_p50,THRESHOLD_dec_p90,THRESHOLD_dec_p99
18,18,39,24.0,m,INA,3.0,6.5,7.0,3.725,0.458,2.23,3.55,5.58,7.711,4.238,0.671,2.68,4.04,6.37,7.633,4.062,1.204,2.48,3.89,6.179,7.187,3.856,1.151,2.434,3.73,5.56,7.819,3.7,0.836,2.32,3.58,5.04,8.204,3.692,0.556,2.55,3.54,5.338,6.927,3.567,0.436,2.378,3.405,5.192,7.175,3.178,0.548,2.096,3.11,4.488,5.88,3.022,0.968,2.018,2.87,4.288,6.112,3.623,1.24,2.182,3.45,5.34,7.164,3.787,1.11,2.151,3.72,5.379,6.47,3.711,1.053,2.112,3.52,5.734,7.625
19,19,39,24.0,m,INA,3.0,6.5,7.0,3.671,0.177,2.149,3.545,5.682,7.401,4.196,0.45,2.61,4.02,6.23,7.481,4.063,0.97,2.391,3.9,6.229,7.133,3.868,1.001,2.33,3.76,5.54,7.689,3.727,0.708,2.14,3.66,5.12,8.026,3.711,0.398,2.5,3.63,5.416,6.632,3.577,0.24,2.356,3.48,5.3,6.959,3.151,0.23,2.03,3.1,4.548,5.716,2.968,0.745,1.926,2.82,4.22,6.167,3.543,0.924,2.06,3.38,5.28,7.127,3.726,0.875,2.0,3.705,5.38,6.502,3.651,0.796,2.0,3.43,5.73,7.324
20,20,39,24.0,m,INA,3.2,6.0,6.5,3.699,0.179,2.232,3.59,5.648,7.261,4.206,0.46,2.681,4.05,6.219,7.316,4.076,0.97,2.411,3.92,6.2,7.006,3.893,1.1,2.46,3.81,5.551,7.528,3.765,0.81,2.298,3.72,5.12,7.875,3.748,0.484,2.651,3.685,5.36,6.488,3.606,0.343,2.4,3.52,5.224,6.842,3.196,0.32,2.101,3.13,4.52,5.751,3.005,0.744,1.98,2.89,4.276,6.14,3.574,0.821,2.142,3.4,5.276,7.031,3.762,0.942,2.068,3.73,5.36,6.463,3.696,0.794,2.158,3.52,5.76,7.183
21,21,39,24.0,m,INA,2.8,6.5,6.7,3.368,0.165,1.844,3.33,5.15,6.25,3.846,0.4,2.463,3.7,5.65,6.59,3.729,0.95,2.27,3.59,5.57,6.09,3.579,0.84,2.257,3.55,5.18,6.48,3.469,0.55,2.059,3.4,4.857,6.749,3.415,0.23,2.4,3.34,4.932,5.791,3.296,0.11,2.2,3.25,4.82,5.982,2.927,0.097,2.0,2.91,4.172,5.146,2.752,0.562,1.803,2.65,3.857,5.462,3.24,0.647,1.951,3.13,4.775,6.054,3.434,0.688,1.887,3.44,4.91,5.69,3.376,0.739,1.858,3.23,5.16,6.17
22,22,39,24.0,m,INA,3.0,6.0,6.4,3.607,0.18,2.18,3.5,5.51,6.521,4.118,0.455,2.66,4.085,5.9,6.567,4.029,0.99,2.462,3.945,5.92,6.3,3.87,0.953,2.43,3.86,5.39,6.89,3.741,0.62,2.098,3.72,5.122,7.214,3.711,0.34,2.482,3.7,5.386,6.064,3.583,0.188,2.4,3.53,5.241,6.1,3.166,0.18,2.122,3.1,4.6,5.47,2.96,0.674,1.97,2.86,4.174,5.842,3.454,0.786,2.042,3.33,5.088,6.274,3.74,0.9,2.1,3.77,5.33,6.07,3.608,0.861,2.022,3.445,5.329,6.291
23,23,39,24.0,m,INA,2.6,5.2,5.7,3.713,0.57,2.4,3.67,5.3,6.31,4.147,0.851,2.931,4.125,5.6,6.288,4.1,1.282,2.721,4.045,5.69,6.039,3.999,1.329,2.711,4.025,5.38,6.72,3.894,1.086,2.57,3.9,5.1,6.956,3.832,0.76,2.812,3.82,5.228,5.722,3.726,0.67,2.62,3.7,5.18,5.84,3.365,0.68,2.412,3.32,4.69,5.365,3.156,1.051,2.284,3.08,4.236,5.424,3.563,1.068,2.39,3.49,4.89,5.848,3.82,1.21,2.31,3.89,5.162,5.67,3.714,1.194,2.32,3.565,5.259,6.006
24,24,39,24.0,m,INA,2.3,5.1,5.3,3.434,0.54,2.3,3.4,4.9,6.091,3.857,0.751,2.661,3.835,5.32,6.12,3.828,1.133,2.44,3.675,5.45,5.879,3.703,1.13,2.4,3.74,4.993,6.729,3.623,0.956,2.18,3.69,4.6,6.946,3.531,0.69,2.54,3.53,4.748,5.555,3.431,0.7,2.52,3.4,4.74,5.452,3.091,0.688,2.26,3.11,4.27,4.86,2.876,0.848,2.13,2.81,3.816,5.132,3.229,0.9,2.054,3.1,4.508,5.651,3.517,1.108,2.1,3.505,4.803,5.535,3.434,1.045,2.168,3.3,4.866,5.706
25,25,39,24.0,m,INA,2.2,5.0,5.4,3.412,0.09,2.16,3.45,4.89,5.85,3.769,0.256,2.52,3.87,5.22,5.849,3.751,0.9,2.298,3.72,5.32,5.62,3.662,1.081,2.288,3.73,5.031,6.39,3.609,1.008,2.114,3.71,4.742,6.41,3.462,0.558,2.441,3.41,4.809,5.35,3.382,0.457,2.3,3.3,4.7,5.36,3.038,0.28,2.12,3.01,4.405,5.02,2.754,0.579,1.793,2.645,3.827,4.9,3.103,0.57,1.86,3.08,4.284,5.254,3.506,0.74,1.97,3.6,4.85,5.24,3.369,0.796,1.972,3.19,5.02,5.492
26,26,39,24.0,m,INA,3.2,5.8,6.15,3.951,0.18,2.459,4.04,5.51,6.582,4.381,0.444,3.011,4.51,5.93,6.35,4.39,1.154,2.786,4.4,6.0,6.288,4.308,1.091,2.753,4.4,5.71,6.923,4.24,0.888,2.468,4.44,5.46,7.03,4.083,0.47,2.952,4.1,5.538,6.154,3.973,0.294,2.78,3.97,5.46,5.9,3.576,0.2,2.5,3.61,5.108,5.63,3.281,0.682,2.143,3.25,4.52,5.73,3.625,0.666,2.236,3.59,4.852,5.964,4.051,0.86,2.4,4.21,5.53,6.043,3.879,0.96,2.25,3.8,5.46,5.956
27,27,39,24.0,m,INA,2.54,6.9,7.25,4.059,1.593,2.55,4.065,5.38,6.913,4.443,2.444,3.136,4.48,5.7,6.55,4.409,1.5,3.011,4.42,5.93,6.26,4.294,1.5,2.81,4.4,5.666,6.796,4.233,1.306,2.54,4.41,5.41,7.122,4.068,0.96,3.032,4.03,5.427,5.96,3.964,0.766,2.807,3.92,5.35,6.0,3.593,0.646,2.38,3.62,5.0,5.63,3.281,0.934,2.254,3.165,4.441,5.383,3.592,1.0,2.38,3.6,4.698,5.654,4.015,1.288,2.487,4.18,5.36,5.802,3.861,1.237,2.315,3.755,5.355,5.79
28,28,39,24.0,m,INA,2.18,5.5,6.0,3.476,0.13,2.04,3.45,4.94,7.002,3.894,0.27,2.502,3.9,5.46,6.7,3.984,1.05,2.499,3.915,5.861,6.436,3.897,1.063,2.36,3.9,5.34,6.911,3.836,0.73,2.171,4.0,5.07,7.312,3.614,0.471,2.4,3.585,4.95,5.972,3.492,0.296,2.38,3.4,4.92,5.604,3.137,0.19,2.049,3.14,4.52,5.353,2.836,0.594,1.817,2.69,4.06,5.043,3.114,0.593,2.0,3.11,4.116,5.422,3.555,0.808,2.137,3.74,4.946,5.74,3.441,0.797,1.894,3.34,4.9,5.673
29,29,39,24.0,m,INA,2.3,4.7,5.0,2.934,-0.42,1.538,2.86,4.401,6.103,3.384,-0.246,2.08,3.38,5.09,5.89,3.465,0.552,2.051,3.44,5.28,5.816,3.389,0.564,1.95,3.355,4.8,6.147,3.338,0.328,1.58,3.5,4.38,6.672,3.109,0.041,2.0,3.1,4.4,5.609,2.995,-0.232,1.95,2.92,4.341,5.204,2.664,-0.382,1.75,2.68,3.98,4.738,2.361,0.093,1.402,2.27,3.628,4.57,2.587,0.074,1.541,2.55,3.509,4.944,3.027,0.258,1.7,3.15,4.464,5.274,2.948,0.276,1.541,2.845,4.399,5.26
