STATION_ID,STATION_NAME,STATION_SHORTNAME,TOOLTIP,LATITUDE,LONGITUDE,ALTITUDE,COUNTRY,ORGANIZATION,SUBBASIN
D144E7C427EDC3B96B90FB792EA5AB808BD7DA83,El Soberbio,ElSoberbio,El Soberbio,-27.298582,-54.193437,,Argentina,Instituto Nacional del Agua (INA),
D14D2789B34E7B2492FDC1FF585F27C8BB850C56,Bañado Medina,BañadoMedina,Bañado Medina,-32.402,-54.35,,Uruguay,Instituto Uruguayo de Meteorología (INUMET),
D1518075754C8247EC2AF492F2F3C954CC1BC6FC,BRUSQUE - SANTA CRUZ,BRUSQUE-SANT,BRUSQUE - SANTA CRUZ,-27.173,-48.89,,Brazil,,
D15FA1CABF0454769ED5DB7584AE5ED596522093,CONTAGEM,CONTAGEM,CONTAGEM,-19.9,-44.1,,Brazil,INMET,
D1627550EFDDA0103202228F7F34AFF8F9B67117,Los Conquistadores,LosConquista,Los Conquistadores,-30.590296,-58.468999,,Argentina,Instituto Nacional del Agua (INA),
D169044FEF08F2A4B05D855E4B988332858E733A,GOIANESIA,GOIANESIA,GOIANESIA,-15.22027777,-48.98999999,,Brazil,INMET,
D17079C3C2BCDBE57B2B1B729333845DFA1DAE59,CHAPADAO DO SUL,CHAPADAODOSU,CHAPADAO DO SUL,-18.802190000000003,-52.60262,,,SBBX,
D176B00ADC6B1212427FE30F85FE37EEE6449EF4,UHE SIMPLÍCIO MOURA BRASIL,UHESIMPLÍCIO,UHE SIMPLÍCIO MOURA BRASIL,-22.1403,-43.1542,,Brazil,National Water Agency of Brazil,
D177429F212C7F1AEBAB22863B4A9F9C94AB4D4E,San Luis,SanLuis,San Luis,-33.6055,-53.719,,Uruguay,Instituto Uruguayo de Meteorología (INUMET),
D179A4F73F6F2344CA2F2598FD2DED54C7115398,UHE CASTRO ALVES BARRAMENTO,UHECASTROALV,UHE CASTRO ALVES BARRAMENTO,-29.0058,-51.3853,,Brazil,National Water Agency of Brazil,
D1815E488A17FD349FBE2D9A320A0B14067FA411,GRA. JURITI (PETROPOL.,GRA.JURITI(P,GRA. JURITI (PETROPOL.,-22.2865,-43.045917,,Brazil,INMET,
D187C5D539B34639E2EFBCD4CF4370CDBE0D796B,Treinta y Tres,TreintayTres,Treinta y Tres,-33.222860000000004,-54.38734,,,SUMU,
D18A3E997E9558098BDE4213BAD24DC39AD70940,RODEADOR - DF 435,RODEADOR-DF4,RODEADOR - DF 435,-15.725,-48.1683,,Brazil,National Water Agency of Brazil,
D198D6B15D9989964811C463E815932D0040CA99,JOINVILLE - IRIRIU,JOINVILLE-IR,JOINVILLE - IRIRIU,-26.27305554,-48.82805554,,Brazil,,
D199DBA5BD8DBC5196DCA44E0EE3955A7F168D3D,GALVAO - ESPERANCA,GALVAO-ESPER,GALVAO - ESPERANCA,-26.45139,-52.68987,,Brazil,,
D1DB0632E941EC1D580DE1DF89FDF1420CC064EF,FLORESTAL,FLORESTAL,FLORESTAL,-19.8854,-44.416880000000006,,,SBBX,
D1E3C696634DA5AFC6830F5ED8A3D668261FD8AE,ROSARIO DO OESTE,ROSARIODOOES,ROSARIO DO OESTE,-14.82,-56.43,,Brazil,INMET,
D1E7C58B26476E43A3DE2B16C83820A5FBBAD270,MAIRIPORA - ESTRADA DA ROSEIRA,MAIRIPORA-ES,MAIRIPORA - ESTRADA DA ROSEIRA,-23.3394,-46.6007,,Brazil,,
D1F425A5FCB21312861B5FA8A9053A458CFD9D02,PCH SERRA DOS CAVALINHOS II BARRAMENTO,PCHSERRADOSC,PCH SERRA DOS CAVALINHOS II BARRAMENTO,-28.7914,-50.7458,,Brazil,National Water Agency of Brazil,
D205EAD905A6F4B9F4A235A0A1334847CD651F69,Rincón,Rincón,Rincón,-33.277,-54.84,,Uruguay,Instituto Uruguayo de Meteorología (INUMET),
D21BF3C97A504A7DCB62F6E379650886D8A2A15F,PCH ENGENHEIRO HENRIQUE KOTZIAN BARRAMENTO,PCHENGENHEIR,PCH ENGENHEIRO HENRIQUE KOTZIAN BARRAMENTO,-29.1294,-53.3194,,Brazil,National Water Agency of Brazil,
D22526A40DE44DC9747D5B35CFC0DA22D7DDF3A1,SAO JOSE DO BARREIRO,SAOJOSEDOBAR,SAO JOSE DO BARREIRO,-22.63,-44.65,,Brazil,INMET,
D2260837EDDF6FFA5D7012C9CDFAFDFB6B4A11E8,PCH PRIMAVERA MONTANTE 2,PCHPRIMAVERA,PCH PRIMAVERA MONTANTE 2,-15.3661,-54.8,,Brazil,National Water Agency of Brazil,
D2323444C190A11F14C54B4CE0D9E08A139807CF,PCH RIACHÃO BARRAMENTO,PCHRIACHÃOBA,PCH RIACHÃO BARRAMENTO,-14.3047,-46.2011,,Brazil,National Water Agency of Brazil,
D2619F89F025063CD62BE6F6B0F5A5AB3AD4492F,Cerro Amarillo,CerroAmarill,Cerro Amarillo,-30.62,-56.66,,Uruguay,Instituto Uruguayo de Meteorología (INUMET),
D26586BB689D338A758CA1E25FF35014EBB73FDD,RIO NEGRO - R. EMILIO VON LINZINGEN,RIONEGRO-R.E,RIO NEGRO - R. EMILIO VON LINZINGEN,-26.089,-49.8,,Brazil,,
