STATION_ID,EXTERNAL_LOCATION_ID,EXTERNAL_PARAMETER_ID,TIMESTEP_HOUR,UNIT,IMPORT_SOURCE
784F1CDB8A7F644C52CA30024A800C0898C454A6,784F1CDB8A7F644C52CA30024A800C0898C454A6,D2DB8BC2930F82D1E5EFA6B529F0262EB0FFE994,,millimetre,WHOS
B048EF24C1F592C11B9569AD9CBEAEAAC69917A5,B048EF24C1F592C11B9569AD9CBEAEAAC69917A5,B838A449A5FBC64CBB8A204A5CD614519EB0844A,24.0,millimetre,WHOS
CF0F7D00E52ABA8CE3A805758D5C5D94E8008692,CF0F7D00E52ABA8CE3A805758D5C5D94E8008692,D2DB8BC2930F82D1E5EFA6B529F0262EB0FFE994,,millimetre,WHOS
44780CB21DAE6292D18DD64371E54E045D728D40,44780CB21DAE6292D18DD64371E54E045D728D40,D2DB8BC2930F82D1E5EFA6B529F0262EB0FFE994,,millimetre,WHOS
9F103C140015CB932D37DAE9682F04AD0CD284ED,9F103C140015CB932D37DAE9682F04AD0CD284ED,D2DB8BC2930F82D1E5EFA6B529F0262EB0FFE994,,millimetre,WHOS
A42ED9127C3679FCA8C66E062418BE8A2AEC7D30,A42ED9127C3679FCA8C66E062418BE8A2AEC7D30,4E47D870E717581F520F6C4EBE8E23962A880107,24.0,millimetre,WHOS
DE87C812AB9D0A2A6E097E632BF65718E43D90FD,DE87C812AB9D0A2A6E097E632BF65718E43D90FD,4E47D870E717581F520F6C4EBE8E23962A880107,24.0,millimetre,WHOS
3DEFB9076082FDF575A81EA4B90BAE98188D5174,3DEFB9076082FDF575A81EA4B90BAE98188D5174,3E4D685B1B2B4A439738E82360E8541EC66BE7F4,,millimetre,WHOS
681AC0209C52F17C3889B4570DF2B5A3DFB17E9E,681AC0209C52F17C3889B4570DF2B5A3DFB17E9E,4E47D870E717581F520F6C4EBE8E23962A880107,24.0,millimetre,WHOS
3E7DE88DCA0BF5C644BD1CBF13FD1F0FB79F2176,3E7DE88DCA0BF5C644BD1CBF13FD1F0FB79F2176,D2DB8BC2930F82D1E5EFA6B529F0262EB0FFE994,,millimetre,WHOS
3DEFB9076082FDF575A81EA4B90BAE98188D5174,3DEFB9076082FDF575A81EA4B90BAE98188D5174,5C817E8F57D758E6F6BCECEDBFD9745F6DF894FC,1.0,millimetre,WHOS
9D22D18CA44C7E00C88B36BB8BCB9D37A98B118F,9D22D18CA44C7E00C88B36BB8BCB9D37A98B118F,D2DB8BC2930F82D1E5EFA6B529F0262EB0FFE994,,millimetre,WHOS
6F53FF146F2A57B0270CAF71FB2C916C3AAD22B8,6F53FF146F2A57B0270CAF71FB2C916C3AAD22B8,D2DB8BC2930F82D1E5EFA6B529F0262EB0FFE994,,millimetre,WHOS
2028AAF9D36AC015ADACC1ED2A03E116DDE2B180,2028AAF9D36AC015ADACC1ED2A03E116DDE2B180,5C817E8F57D758E6F6BCECEDBFD9745F6DF894FC,1.0,millimetre,WHOS
8D2354471C7EC90ADD3C456DCFA61576615D25D5,8D2354471C7EC90ADD3C456DCFA61576615D25D5,3E4D685B1B2B4A439738E82360E8541EC66BE7F4,,millimetre,WHOS
06B29CF798332C3E104C8AA6AB9C53425357956A,06B29CF798332C3E104C8AA6AB9C53425357956A,D2DB8BC2930F82D1E5EFA6B529F0262EB0FFE994,,millimetre,WHOS
CFD3D2397C3C1111FF2A5573AE4C1756CE800D23,CFD3D2397C3C1111FF2A5573AE4C1756CE800D23,5C817E8F57D758E6F6BCECEDBFD9745F6DF894FC,1.0,millimetre,WHOS
62962E0F62AF0A96E851E6DB1F86EC30EF5F54C8,62962E0F62AF0A96E851E6DB1F86EC30EF5F54C8,D2DB8BC2930F82D1E5EFA6B529F0262EB0FFE994,,millimetre,WHOS
F5608A84BA34063E4635B8BDCD4723A7331FD569,F5608A84BA34063E4635B8BDCD4723A7331FD569,D2DB8BC2930F82D1E5EFA6B529F0262EB0FFE994,,millimetre,WHOS
5478DF9D175380301E016C08882EBB7235B78A5C,5478DF9D175380301E016C08882EBB7235B78A5C,7075721786F52D17847D1D6369D0F3E794795E5C,3.0,millimetre,WHOS
E203EFC3A6EB9960E8D55557CE869A667364EDC4,E203EFC3A6EB9960E8D55557CE869A667364EDC4,D2DB8BC2930F82D1E5EFA6B529F0262EB0FFE994,,millimetre,WHOS
EE967DD7E1914FFB125B6A4691BE93E99F256F65,EE967DD7E1914FFB125B6A4691BE93E99F256F65,D2DB8BC2930F82D1E5EFA6B529F0262EB0FFE994,,millimetre,WHOS
624CB89645472237E22D599F7554632C2E70916F,624CB89645472237E22D599F7554632C2E70916F,D2DB8BC2930F82D1E5EFA6B529F0262EB0FFE994,,millimetre,WHOS
EE3FA196BCB23FA4A871ACBF13D498271DCA146A,EE3FA196BCB23FA4A871ACBF13D498271DCA146A,D2DB8BC2930F82D1E5EFA6B529F0262EB0FFE994,,millimetre,WHOS
6BB3D36765682B56D0F5566690C4C51EFAE0E558,6BB3D36765682B56D0F5566690C4C51EFAE0E558,B838A449A5FBC64CBB8A204A5CD614519EB0844A,24.0,millimetre,WHOS
65118282CDE2E3C838748647E37B37747C850B76,65118282CDE2E3C838748647E37B37747C850B76,4E47D870E717581F520F6C4EBE8E23962A880107,24.0,millimetre,WHOS
6EF27D1C4ED6358D98004D48E8C7A66560594AC2,6EF27D1C4ED6358D98004D48E8C7A66560594AC2,4E47D870E717581F520F6C4EBE8E23962A880107,24.0,millimetre,WHOS
18914B81B845A295E43D90169A8316F6809154AC,18914B81B845A295E43D90169A8316F6809154AC,D2DB8BC2930F82D1E5EFA6B529F0262EB0FFE994,,millimetre,WHOS
1DC0C47372ECC8CF4121C707ABE5908E16050F37,1DC0C47372ECC8CF4121C707ABE5908E16050F37,D2DB8BC2930F82D1E5EFA6B529F0262EB0FFE994,,millimetre,WHOS
F28B301F5C00898D8B2D2CB9060163C33189299F,F28B301F5C00898D8B2D2CB9060163C33189299F,D2DB8BC2930F82D1E5EFA6B529F0262EB0FFE994,,millimetre,WHOS
